National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Mathematics scale score sorted by gender, grade 4 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,Male,Female,
,,significant,Significantly,,,,,,Male - Female
,,difference,,,,,,,difference
,,,higher,not,lower,2013,2013,2013,2013
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,241.1801913,241.691513,240.6473304,1.044182532
N/A,Alabama,?,?,?,?,232.8613325,233.3084645,232.379943,0.928521568
N/A,Alaska,?,?,?,?,236.1220044,236.5475156,235.6729215,0.874594119
N/A,Arizona,?,?,?,?,240.3049115,240.3607011,240.2464739,0.114227246
N/A,Arkansas,?,?,?,?,239.8905221,239.3794136,240.4316914,-1.052277797
N/A,California,?,?,?,?,233.6544646,234.9705023,232.2685857,2.701916587
N/A,Colorado,?,?,?,?,246.975708,248.0523886,245.8667569,2.18563172
N/A,Connecticut,?,?,?,?,243.4402974,243.5298105,243.3453246,0.184485866
N/A,Delaware,?,?,?,?,243.1077582,243.2254937,242.9873079,0.238185757
N/A,District of Columbia,?,?,?,?,228.5672539,228.2704012,228.871789,-0.601387752
N/A,DoDEA,?,?,?,?,245.0110265,245.7252522,244.3022131,1.423039068
N/A,Florida,?,?,?,?,241.6758096,241.7707523,241.5785049,0.192247374
N/A,Georgia,?,?,?,?,240.0472366,240.7352786,239.351913,1.383365604
N/A,Hawaii,?,?,?,?,243.3086189,242.4885495,244.2001624,-1.711612843
N/A,Idaho,?,?,?,?,240.7220198,242.9239977,238.4680526,4.455945163
N/A,Illinois,?,?,?,?,239.000204,238.9127862,239.0910365,-0.178250306
N/A,Indiana,?,?,?,?,248.5967774,248.8641463,248.3203502,0.543796046
N/A,Iowa,?,?,?,?,245.7935055,247.0438176,244.4407601,2.603057568
N/A,Kansas,?,?,?,?,246.1857019,247.2268987,245.0764504,2.150448325
N/A,Kentucky,?,?,?,?,241.4699268,242.1582929,240.7526667,1.405626179
N/A,Louisiana,?,?,?,?,231.3663086,232.5265323,230.1206193,2.405912991
N/A,Maine,?,?,?,?,245.8470018,246.0843743,245.5934069,0.490967364
N/A,Maryland,?,?,?,?,245.1693795,245.8242324,244.4991741,1.325058327
N/A,Massachusetts,?,?,?,?,253.0337852,253.1116934,252.9553546,0.156338824
N/A,Michigan,?,?,?,?,236.8197784,237.1663414,236.4491402,0.717201158
N/A,Minnesota,?,?,?,?,253.4209611,254.0396536,252.7827216,1.256931983
N/A,Mississippi,?,?,?,?,231.1057214,230.6511027,231.5740655,-0.922962806
N/A,Missouri,?,?,?,?,239.5483619,240.1516982,238.9146628,1.237035421
N/A,Montana,?,?,?,?,243.6988846,245.2850293,242.0578221,3.227207202
N/A,Nebraska,?,?,?,?,243.1579291,245.0453999,241.1730242,3.872375763
N/A,Nevada,?,?,?,?,236.2628994,237.0216969,235.473639,1.54805787
N/A,New Hampshire,?,?,?,?,252.9935252,254.5062647,251.4019001,3.104364597
N/A,New Jersey,?,?,?,?,246.8709092,247.7784353,245.9832618,1.795173516
N/A,New Mexico,?,?,?,?,232.7814329,233.699958,231.8407873,1.859170681
N/A,New York,?,?,?,?,240.3498169,240.6380262,240.0548812,0.583145039
N/A,North Carolina,?,?,?,?,244.8017329,244.78934,244.8148795,-0.025539583
N/A,North Dakota,?,?,?,?,246.4247949,246.8711989,245.9518948,0.919304082
N/A,Ohio,?,?,?,?,245.5497969,246.1001433,244.9673635,1.132779803
N/A,Oklahoma,?,?,?,?,238.9218775,239.7546202,238.0540963,1.700523859
N/A,Oregon,?,?,?,?,240.099252,241.2404507,238.9129503,2.32750034
N/A,Pennsylvania,?,?,?,?,244.01262,243.9487671,244.0774727,-0.128705609
N/A,Rhode Island,?,?,?,?,241.4167352,242.1374176,240.6649716,1.472446007
N/A,South Carolina,?,?,?,?,236.6258997,235.7068126,237.5828613,-1.876048706
N/A,South Dakota,?,?,?,?,240.9810997,240.8665085,241.1015861,-0.23507755
N/A,Tennessee,?,?,?,?,239.774787,239.6408035,239.9191238,-0.278320275
N/A,Texas,?,?,?,?,241.9262887,242.321301,241.5093699,0.811931051
N/A,Utah,?,?,?,?,242.8206887,244.4024493,241.1519162,3.250533099
N/A,Vermont,?,?,?,?,247.8032947,248.5208565,247.0369182,1.48393837
N/A,Virginia,?,?,?,?,246.1774569,246.8191356,245.5002167,1.318918922
N/A,Washington,?,?,?,?,246.2883381,246.9752744,245.6138157,1.361458702
N/A,West Virginia,?,?,?,?,237.4406327,237.9988759,236.8506157,1.148260211
N/A,Wisconsin,?,?,?,?,244.7062916,245.2386128,244.1312803,1.107332527
N/A,Wyoming,?,?,?,?,246.5224009,246.6416502,246.39465,0.247000218
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2013 Mathematics Assessment.",,,,,,,,,
