National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Reading scale score sorted by all students, grade 4 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,75th percentile,25th percentile,
,,significant,Significantly,,,,,,75th percentile - 25th percentile
,,difference,,,,,,,difference
,,,higher,not,lower,2005,2005,2005,2005
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,217.3024612,242.6819977,194.0440002,48.63799744
N/A,Alabama,?,?,?,?,207.752033,235.1399994,183.6899963,51.45000305
N/A,Alaska,?,?,?,?,211.0613186,239.697998,185.7259979,53.97200012
N/A,Arizona,?,?,?,?,207.1427366,236.473996,180.4380005,56.03599548
N/A,Arkansas,?,?,?,?,217.0715289,242.2579987,194.2779999,47.97999878
N/A,California,?,?,?,?,206.5120265,233.7779968,179.7779999,53.99999695
N/A,Colorado,?,?,?,?,223.65613,247.8860016,201.5620026,46.32399902
N/A,Connecticut,?,?,?,?,225.7530197,250.8,202.6960022,48.1039978
N/A,Delaware,?,?,?,?,225.8384591,245.6680023,206.6659973,39.002005
N/A,District of Columbia,?,?,?,?,190.7873557,216.9539978,165.0359985,51.91799927
N/A,DoDEA,?,?,?,?,226.1284546,246.15,207.6419983,38.50800171
N/A,Florida,?,?,?,?,219.4652222,242.8040009,197.5179993,45.28600159
N/A,Georgia,?,?,?,?,214.4309205,239.373999,190.1940002,49.17999878
N/A,Hawaii,?,?,?,?,209.5787676,236.1300018,184.8620026,51.26799927
N/A,Idaho,?,?,?,?,221.8595114,245.0280029,201.6259979,43.402005
N/A,Illinois,?,?,?,?,216.48972,242.3819977,193.4740021,48.90799561
N/A,Indiana,?,?,?,?,218.0725333,242.9339996,196.0919983,46.84200134
N/A,Iowa,?,?,?,?,220.8094002,245.1540009,199.4380005,45.71600037
N/A,Kansas,?,?,?,?,220.4687493,244.5439972,198.5720032,45.97199402
N/A,Kentucky,?,?,?,?,219.9268179,243.5640015,197.0860016,46.47799988
N/A,Louisiana,?,?,?,?,209.1656583,232.7519989,186.9440002,45.80799866
N/A,Maine,?,?,?,?,224.5777722,247.023999,203.8,43.22399902
N/A,Maryland,?,?,?,?,220.0295858,245.7700012,196.0059967,49.76400452
N/A,Massachusetts,?,?,?,?,231.2794393,253.3159973,211.0999969,42.21600037
N/A,Michigan,?,?,?,?,218.2606891,244.6319946,193.9420044,50.68999023
N/A,Minnesota,?,?,?,?,225.2265781,249.826004,203.7340027,46.09200134
N/A,Mississippi,?,?,?,?,204.393607,229.9620026,180.0040039,49.95799866
N/A,Missouri,?,?,?,?,221.1686228,245.0560028,199.6039978,45.452005
N/A,Montana,?,?,?,?,224.5521798,246.423996,204.0279999,42.39599609
N/A,Nebraska,?,?,?,?,221.3774628,245.3899994,199.7600006,45.62999878
N/A,Nevada,?,?,?,?,207.1869744,233.2060028,182.7179993,50.48800354
N/A,New Hampshire,?,?,?,?,227.4383241,249.3379974,207.3960022,41.94199524
N/A,New Jersey,?,?,?,?,223.2983935,248.8320007,199.9059967,48.92600403
N/A,New Mexico,?,?,?,?,206.7916207,232.8559967,183.0380005,49.81799622
N/A,New York,?,?,?,?,222.6952,245.5839996,201.7660004,43.81799927
N/A,North Carolina,?,?,?,?,217.1344487,242.0600037,193.4200012,48.64000244
N/A,North Dakota,?,?,?,?,224.8108467,246.7399994,204.576001,42.16399841
N/A,Ohio,?,?,?,?,222.5332538,246.2579956,200.9180023,45.33999329
N/A,Oklahoma,?,?,?,?,213.8614501,238.1440002,192.2519989,45.89200134
N/A,Oregon,?,?,?,?,216.8999802,242.2019989,193.7360016,48.46599731
N/A,Pennsylvania,?,?,?,?,222.7719804,247.9680023,199.9359985,48.03200378
N/A,Rhode Island,?,?,?,?,216.4398673,242.9320007,192.7959961,50.13600464
N/A,South Carolina,?,?,?,?,213.2035072,238.7440002,189.3640015,49.37999878
N/A,South Dakota,?,?,?,?,222.3986921,244.7140015,202.6099945,42.10400696
N/A,Tennessee,?,?,?,?,214.2212693,239.8580017,190.95,48.90800171
N/A,Texas,?,?,?,?,218.733824,241.6300018,196.9920013,44.63800049
N/A,Utah,?,?,?,?,221.3109271,246.1360016,199.5100006,46.62600098
N/A,Vermont,?,?,?,?,226.886251,250.0160004,204.9279999,45.08800049
N/A,Virginia,?,?,?,?,225.8137107,247.9899994,204.8539978,43.13600159
N/A,Washington,?,?,?,?,223.4863979,246.8539978,202.4319977,44.42200012
N/A,West Virginia,?,?,?,?,214.7670664,238.4700012,193.1700012,45.3
N/A,Wisconsin,?,?,?,?,221.1642265,245.3840027,199.2819977,46.102005
N/A,Wyoming,?,?,?,?,223.262146,245.776001,203.35,42.42600098
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2005 Reading Assessment.",,,,,,,,,
