National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Reading scale score sorted by gender, grade 4 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,Male,Female,
,,significant,Significantly,,,,,,Male - Female
,,difference,,,,,,,difference
,,,higher,not,lower,2013,2013,2013,2013
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,220.674711,217.3976472,224.0647854,-6.667138246
N/A,Alabama,?,?,?,?,218.5759534,214.5569569,222.9014066,-8.344449625
N/A,Alaska,?,?,?,?,209.3472882,206.3894421,212.4376219,-6.048179872
N/A,Arizona,?,?,?,?,213.1341315,210.362347,216.0521928,-5.689845845
N/A,Arkansas,?,?,?,?,218.5238853,214.6056552,222.7016492,-8.095994013
N/A,California,?,?,?,?,212.5459679,209.5495541,215.6580615,-6.108507428
N/A,Colorado,?,?,?,?,226.6632196,222.9523505,230.5163713,-7.564020757
N/A,Connecticut,?,?,?,?,229.5815994,226.9556142,232.3533257,-5.397711485
N/A,Delaware,?,?,?,?,225.7716512,223.862671,227.7115351,-3.848864073
N/A,District of Columbia,?,?,?,?,205.6139369,200.1965954,211.1765217,-10.9799263
N/A,DoDEA,?,?,?,?,232.1123182,228.7303378,235.4382726,-6.707934814
N/A,Florida,?,?,?,?,227.4631766,223.9579799,231.0290673,-7.071087394
N/A,Georgia,?,?,?,?,221.8367125,218.7951494,224.8457662,-6.050616753
N/A,Hawaii,?,?,?,?,214.8438799,209.1123203,221.121758,-12.0094377
N/A,Idaho,?,?,?,?,219.302986,216.9800169,221.6866993,-4.706682433
N/A,Illinois,?,?,?,?,218.5401839,214.7326848,222.4984195,-7.765734686
N/A,Indiana,?,?,?,?,225.3323408,222.2136941,228.5505705,-6.336876443
N/A,Iowa,?,?,?,?,223.8158046,220.8525409,227.0336699,-6.181128985
N/A,Kansas,?,?,?,?,223.3863688,220.3581164,226.627056,-6.268939578
N/A,Kentucky,?,?,?,?,224.4275405,220.8616799,228.1130377,-7.251357772
N/A,Louisiana,?,?,?,?,210.4549632,206.5589596,214.635594,-8.076634437
N/A,Maine,?,?,?,?,224.833289,221.4826134,228.4480441,-6.965430734
N/A,Maryland,?,?,?,?,232.0559731,227.7840149,236.1304204,-8.346405526
N/A,Massachusetts,?,?,?,?,232.373156,229.2974935,235.4645394,-6.167045912
N/A,Michigan,?,?,?,?,217.3651677,214.1427133,220.8029634,-6.660250065
N/A,Minnesota,?,?,?,?,227.0307418,223.1517936,230.9884469,-7.836653301
N/A,Mississippi,?,?,?,?,208.5185365,206.6908784,210.4000931,-3.709214695
N/A,Missouri,?,?,?,?,222.3341859,219.2614223,225.5672563,-6.305833951
N/A,Montana,?,?,?,?,222.9827493,219.5657181,226.4896587,-6.923940554
N/A,Nebraska,?,?,?,?,223.2527851,221.4349632,225.1312158,-3.696252553
N/A,Nevada,?,?,?,?,213.7553136,209.6034298,218.0362906,-8.432860835
N/A,New Hampshire,?,?,?,?,231.9983664,228.7850502,235.4019013,-6.616851122
N/A,New Jersey,?,?,?,?,228.7197441,225.9037291,231.4765016,-5.572772435
N/A,New Mexico,?,?,?,?,205.7564054,201.7158483,209.870069,-8.154220668
N/A,New York,?,?,?,?,223.8133626,220.6772542,227.0169022,-6.339647941
N/A,North Carolina,?,?,?,?,222.2277152,218.5765149,226.1010704,-7.5245555
N/A,North Dakota,?,?,?,?,224.083385,220.379728,227.9847611,-7.605033023
N/A,Ohio,?,?,?,?,223.8877461,221.1181812,226.7849559,-5.666774739
N/A,Oklahoma,?,?,?,?,216.9888765,212.8341706,221.2838651,-8.44969449
N/A,Oregon,?,?,?,?,219.1326742,214.6761864,223.8052946,-9.129108203
N/A,Pennsylvania,?,?,?,?,226.4023236,221.4516037,231.4197078,-9.968104067
N/A,Rhode Island,?,?,?,?,222.8022398,217.5807579,228.2577925,-10.67703465
N/A,South Carolina,?,?,?,?,213.6465439,209.3522498,218.0908985,-8.738648683
N/A,South Dakota,?,?,?,?,217.9307449,213.8515431,222.2817673,-8.430224184
N/A,Tennessee,?,?,?,?,219.7353947,216.2795041,223.4026027,-7.123098634
N/A,Texas,?,?,?,?,216.9095971,215.1590153,218.7161569,-3.557141635
N/A,Utah,?,?,?,?,222.7676355,219.109466,226.5898508,-7.480384779
N/A,Vermont,?,?,?,?,227.9865191,222.8997884,233.4172433,-10.5174549
N/A,Virginia,?,?,?,?,228.5557377,225.0120582,232.3472712,-7.33521304
N/A,Washington,?,?,?,?,225.0488633,221.8690242,228.1571349,-6.288110707
N/A,West Virginia,?,?,?,?,214.6634013,210.8089037,218.7140543,-7.905150602
N/A,Wisconsin,?,?,?,?,220.8181034,216.4933639,225.4729974,-8.979633473
N/A,Wyoming,?,?,?,?,225.848975,223.1988697,228.6875271,-5.488657408
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2013 Reading Assessment.",,,,,,,,,
