National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Mathematics scale score sorted by gender, grade 8 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,Male,Female,
,,significant,Significantly,,,,,,Male - Female
,,difference,,,,,,,difference
,,,higher,not,lower,2013,2013,2013,2013
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,283.6150365,283.8868867,283.3309871,0.55589955
N/A,Alabama,?,?,?,?,269.1942806,269.4574558,268.9201118,0.537344031
N/A,Alaska,?,?,?,?,281.5595728,281.7233762,281.388243,0.335133145
N/A,Arizona,?,?,?,?,279.722268,280.1743886,279.2495812,0.924807451
N/A,Arkansas,?,?,?,?,277.9148025,277.4576623,278.3817884,-0.924126076
N/A,California,?,?,?,?,275.9013507,277.1671706,274.5978239,2.569346782
N/A,Colorado,?,?,?,?,289.6818001,289.4543203,289.9236746,-0.469354345
N/A,Connecticut,?,?,?,?,285.2439723,285.474592,285.0017188,0.472873258
N/A,Delaware,?,?,?,?,282.3382986,283.830455,280.8192718,3.011183175
N/A,District of Columbia,?,?,?,?,265.2593657,264.1765343,266.2977607,-2.121226456
N/A,DoDEA,?,?,?,?,290.4265939,292.1471441,288.6366809,3.510463211
N/A,Florida,?,?,?,?,280.8558396,281.6548656,280.0417214,1.613144215
N/A,Georgia,?,?,?,?,279.1791109,279.4467386,278.897697,0.54904161
N/A,Hawaii,?,?,?,?,281.4129223,279.5033808,283.5193085,-4.015927715
N/A,Idaho,?,?,?,?,286.4138816,286.9769059,285.8317047,1.145201205
N/A,Illinois,?,?,?,?,284.8976472,285.037468,284.7510374,0.286430606
N/A,Indiana,?,?,?,?,287.7676538,288.2136452,287.3066025,0.907042781
N/A,Iowa,?,?,?,?,285.0701378,285.7344389,284.381733,1.352705956
N/A,Kansas,?,?,?,?,289.5182561,290.2616058,288.7331247,1.52848111
N/A,Kentucky,?,?,?,?,280.6454425,280.9895801,280.2826093,0.70697083
N/A,Louisiana,?,?,?,?,272.7609665,272.6109844,272.914362,-0.303377624
N/A,Maine,?,?,?,?,288.7311597,290.310425,287.0423526,3.268072383
N/A,Maryland,?,?,?,?,286.6413811,286.3972183,286.8940802,-0.496861965
N/A,Massachusetts,?,?,?,?,300.568235,300.9042119,300.2308902,0.673321781
N/A,Michigan,?,?,?,?,280.1335971,279.7134264,280.5798948,-0.866468491
N/A,Minnesota,?,?,?,?,294.5929726,295.4043176,293.7755999,1.628717705
N/A,Mississippi,?,?,?,?,271.1609673,271.1094036,271.2142242,-0.104820549
N/A,Missouri,?,?,?,?,282.9884579,282.6579087,283.3322219,-0.674313183
N/A,Montana,?,?,?,?,289.228453,289.0532568,289.4141566,-0.360899784
N/A,Nebraska,?,?,?,?,285.0613485,284.8718695,285.2596745,-0.387804957
N/A,Nevada,?,?,?,?,278.2866809,279.0904555,277.4417112,1.648744325
N/A,New Hampshire,?,?,?,?,295.6651233,295.2297533,296.1264251,-0.896671829
N/A,New Jersey,?,?,?,?,296.0533511,295.2230582,296.9327194,-1.709661185
N/A,New Mexico,?,?,?,?,272.7618089,272.7560757,272.7678205,-0.011744812
N/A,New York,?,?,?,?,281.8077878,280.3799288,283.3365732,-2.956644381
N/A,North Carolina,?,?,?,?,285.6453884,285.4668398,285.8306686,-0.363828858
N/A,North Dakota,?,?,?,?,290.5151113,290.8026375,290.2185167,0.584120846
N/A,Ohio,?,?,?,?,289.5280968,289.9930622,289.0444198,0.948642437
N/A,Oklahoma,?,?,?,?,275.506732,274.832878,276.1918593,-1.358981304
N/A,Oregon,?,?,?,?,283.5245891,284.6389172,282.337649,2.30126815
N/A,Pennsylvania,?,?,?,?,289.6236516,290.3406279,288.8565493,1.484078628
N/A,Rhode Island,?,?,?,?,284.0922122,284.3105182,283.8608371,0.449681051
N/A,South Carolina,?,?,?,?,279.8246086,280.8126098,278.8357712,1.976838506
N/A,South Dakota,?,?,?,?,287.2703906,287.7638093,286.7487127,1.015096549
N/A,Tennessee,?,?,?,?,277.7201273,277.7735157,277.664098,0.109417717
N/A,Texas,?,?,?,?,288.1989676,288.5630797,287.8091626,0.753917094
N/A,Utah,?,?,?,?,284.3314862,284.8681833,283.7647191,1.103464147
N/A,Vermont,?,?,?,?,295.4695624,294.7929505,296.1875637,-1.394613173
N/A,Virginia,?,?,?,?,288.1429595,287.5048529,288.8062496,-1.301396686
N/A,Washington,?,?,?,?,289.9569887,290.4756817,289.4043239,1.071357846
N/A,West Virginia,?,?,?,?,274.4301347,274.4931478,274.367421,0.125726798
N/A,Wisconsin,?,?,?,?,288.7457808,288.6999632,288.7935587,-0.093595448
N/A,Wyoming,?,?,?,?,288.1191373,289.5618629,286.5596347,3.002228165
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2013 Mathematics Assessment.",,,,,,,,,
