National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Reading scale score sorted by gender, grade 8 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,Male,Female,
,,significant,Significantly,,,,,,Male - Female
,,difference,,,,,,,difference
,,,higher,not,lower,2013,2013,2013,2013
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,266.0191361,261.1832212,271.0589664,-9.875745181
N/A,Alabama,?,?,?,?,257.4278382,252.9093765,262.150556,-9.241179553
N/A,Alaska,?,?,?,?,261.2560926,254.4783573,268.4304001,-13.95204283
N/A,Arizona,?,?,?,?,260.4482872,256.3093328,264.8002421,-8.490909315
N/A,Arkansas,?,?,?,?,261.9644908,256.7271951,267.3611136,-10.63391849
N/A,California,?,?,?,?,261.5024557,256.5030485,266.6502528,-10.14720427
N/A,Colorado,?,?,?,?,271.0090869,267.1570885,275.0946545,-7.937566051
N/A,Connecticut,?,?,?,?,274.4595425,268.552535,280.5938227,-12.04128767
N/A,Delaware,?,?,?,?,265.9849815,261.0082616,271.0669336,-10.05867206
N/A,District of Columbia,?,?,?,?,247.7391537,240.841626,254.3554216,-13.51379553
N/A,DoDEA,?,?,?,?,276.9943674,274.0134723,280.0788826,-6.065410371
N/A,Florida,?,?,?,?,265.8282971,260.011458,271.7334446,-11.72198657
N/A,Georgia,?,?,?,?,264.6157135,259.6768888,269.7099514,-10.03306258
N/A,Hawaii,?,?,?,?,259.9605695,254.1481645,266.3774156,-12.2292511
N/A,Idaho,?,?,?,?,270.2241686,264.6169666,276.0117947,-11.39482804
N/A,Illinois,?,?,?,?,266.898721,262.8216988,271.1693443,-8.347645537
N/A,Indiana,?,?,?,?,267.2729747,262.4494969,272.2566862,-9.807189397
N/A,Iowa,?,?,?,?,269.0034496,264.9907477,273.1526862,-8.161938465
N/A,Kansas,?,?,?,?,266.8875236,263.1586367,270.8571175,-7.698480824
N/A,Kentucky,?,?,?,?,269.6164717,266.4408894,272.9382061,-6.497316672
N/A,Louisiana,?,?,?,?,257.3512427,252.5363842,262.3091384,-9.772754117
N/A,Maine,?,?,?,?,269.193764,262.4559336,276.3626664,-13.90673273
N/A,Maryland,?,?,?,?,273.8019031,269.0636741,278.4142079,-9.350533887
N/A,Massachusetts,?,?,?,?,277.0095591,272.5828669,281.4782952,-8.895428297
N/A,Michigan,?,?,?,?,265.9429631,261.5485614,270.6326543,-9.08409295
N/A,Minnesota,?,?,?,?,271.0196546,265.7338179,276.3245498,-10.59073189
N/A,Mississippi,?,?,?,?,253.1478182,247.5794175,258.890328,-11.3109105
N/A,Missouri,?,?,?,?,267.2150118,261.450852,273.2557911,-11.8049391
N/A,Montana,?,?,?,?,271.7657825,267.4457913,276.3401487,-8.894357405
N/A,Nebraska,?,?,?,?,269.2219146,264.9882434,273.6106578,-8.622414441
N/A,Nevada,?,?,?,?,261.6959822,256.5015483,267.1890234,-10.68747509
N/A,New Hampshire,?,?,?,?,274.3077317,269.133284,279.8416238,-10.70833984
N/A,New Jersey,?,?,?,?,276.3779878,271.3721097,281.5694629,-10.19735321
N/A,New Mexico,?,?,?,?,255.870077,252.2073433,259.7350587,-7.527715403
N/A,New York,?,?,?,?,266.3460632,260.7267561,272.4314733,-11.70471719
N/A,North Carolina,?,?,?,?,264.5409997,258.1921024,271.0790567,-12.88695431
N/A,North Dakota,?,?,?,?,267.7791997,262.9825486,272.6823523,-9.699803686
N/A,Ohio,?,?,?,?,269.0869734,264.08908,274.2176165,-10.12853644
N/A,Oklahoma,?,?,?,?,261.9314952,258.3310604,265.5736631,-7.242602609
N/A,Oregon,?,?,?,?,268.2826627,262.5899241,274.3216271,-11.73170299
N/A,Pennsylvania,?,?,?,?,272.0853653,268.9912297,275.3936789,-6.402449199
N/A,Rhode Island,?,?,?,?,266.6770524,261.3014337,272.3716016,-11.07016792
N/A,South Carolina,?,?,?,?,261.4490507,255.5346652,267.3291448,-11.79447959
N/A,South Dakota,?,?,?,?,268.1007728,262.1655677,274.298195,-12.1326273
N/A,Tennessee,?,?,?,?,265.3595046,261.7758265,269.0594699,-7.283643431
N/A,Texas,?,?,?,?,263.6841377,259.5581635,268.105455,-8.547291439
N/A,Utah,?,?,?,?,270.0419258,265.410259,274.8792771,-9.46901809
N/A,Vermont,?,?,?,?,274.3685477,268.8485914,280.2254198,-11.37682841
N/A,Virginia,?,?,?,?,267.5898643,262.4876171,272.8746969,-10.38707985
N/A,Washington,?,?,?,?,272.0361244,267.7561137,276.5969609,-8.840847144
N/A,West Virginia,?,?,?,?,257.3835093,251.3512336,263.385542,-12.03430846
N/A,Wisconsin,?,?,?,?,267.5429942,260.7831243,274.6517697,-13.8686454
N/A,Wyoming,?,?,?,?,270.9661722,265.0598044,277.3398995,-12.28009504
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2013 Reading Assessment.",,,,,,,,,
