National Center for Education Statistics (NCES),,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,
This report was generated using the NAEP State Comparisons Tool.http://nces.ed.gov/nationsreportcard/statecomparisons/,,,,,,,,,
"Average Mathematics scale score sorted by all students, grade 8 public schools: By jurisdiction",,,,,,,,,
Order,Jurisdiction,Cross-state,Number of Jurisdictions,,,All students,75th percentile,25th percentile,
,,significant,Significantly,,,,,,75th percentile - 25th percentile
,,difference,,,,,,,difference
,,,higher,not,lower,2003,2003,2003,2003
,,,,different,,Scale Score,Scale Score,Scale Score,Scale Score
N/A,National public,?,?,?,?,276.1152756,301.4159973,252.6800018,48.73599548
N/A,Alabama,?,?,?,?,261.9390222,288.2400024,238.9159973,49.32400513
N/A,Alaska,?,?,?,?,279.0250699,304.4320007,255.8160004,48.61600037
N/A,Arizona,?,?,?,?,271.1773505,294.4820007,248.2699982,46.21200256
N/A,Arkansas,?,?,?,?,265.7715893,292.3179993,242.1019989,50.21600037
N/A,California,?,?,?,?,267.0495006,294.8019958,240.6959961,54.10599976
N/A,Colorado,?,?,?,?,283.3998585,308.1640015,260.6159912,47.54801025
N/A,Connecticut,?,?,?,?,283.7298112,309.4480042,260.173999,49.27400513
N/A,Delaware,?,?,?,?,277.1583689,299.6839966,255.4919983,44.19199829
N/A,District of Columbia,?,?,?,?,243.0596382,266.826001,219.0940002,47.73200073
N/A,DoDEA,?,?,?,?,284.7624662,305.4900024,265.4599976,40.03000488
N/A,Florida,?,?,?,?,271.3714902,297.1559998,247.7340027,49.42199707
N/A,Georgia,?,?,?,?,269.6770092,294.9179993,245.7439972,49.17400208
N/A,Hawaii,?,?,?,?,265.728581,289.3100037,242.6740021,46.63600159
N/A,Idaho,?,?,?,?,279.9392668,302.0259949,259.426001,42.5999939
N/A,Illinois,?,?,?,?,277.160081,303.4679932,252.1360016,51.33199158
N/A,Indiana,?,?,?,?,281.2209398,304.4980042,260.2499939,44.24801025
N/A,Iowa,?,?,?,?,283.9533447,306.5420044,263.3659973,43.17600708
N/A,Kansas,?,?,?,?,284.1910881,307.6120056,262.7699951,44.8420105
N/A,Kentucky,?,?,?,?,274.2784722,297.697998,251.8839996,45.81399841
N/A,Louisiana,?,?,?,?,266.3283593,290.5640076,244.7419952,45.82201233
N/A,Maine,?,?,?,?,281.9037733,302.6619995,261.7940002,40.86799927
N/A,Maryland,?,?,?,?,277.7161125,304.526001,252.4240021,52.1019989
N/A,Massachusetts,?,?,?,?,286.5206945,311.3799988,263.4160095,47.96398926
N/A,Michigan,?,?,?,?,276.4418616,302.1219971,253.5579987,48.56399841
N/A,Minnesota,?,?,?,?,290.680056,314.3,271.0979919,43.20200806
N/A,Mississippi,?,?,?,?,260.9119336,282.7119995,239.0279999,43.68399963
N/A,Missouri,?,?,?,?,278.7662503,301.7380005,257.7239929,44.01400757
N/A,Montana,?,?,?,?,285.9280226,307.5900024,266.7140015,40.87600098
N/A,Nebraska,?,?,?,?,282.193756,305.5599976,261.328009,44.23198853
N/A,Nevada,?,?,?,?,268.0431377,293.5099976,244.2879974,49.22200012
N/A,New Hampshire,?,?,?,?,286.1984687,308.0039978,265.9880005,42.01599731
N/A,New Jersey,?,?,?,?,281.4071199,307.0199951,257.8800049,49.13999023
N/A,New Mexico,?,?,?,?,263.2729067,287.2759949,240.5920013,46.68399353
N/A,New York,?,?,?,?,279.749257,305.7579956,256.5300049,49.22799072
N/A,North Carolina,?,?,?,?,281.2403506,305.9219971,257.7959961,48.12600098
N/A,North Dakota,?,?,?,?,287.1446405,307.6340027,269.2459961,38.38800659
N/A,Ohio,?,?,?,?,281.6072954,303.6140015,260.7099976,42.90400391
N/A,Oklahoma,?,?,?,?,271.9051513,293.7619934,252.1699982,41.59199524
N/A,Oregon,?,?,?,?,280.8924709,306.2660034,256.773999,49.49200439
N/A,Pennsylvania,?,?,?,?,278.5377581,303.4700012,254.6100006,48.86000061
N/A,Rhode Island,?,?,?,?,271.9986944,297.7899963,248.3899994,49.39999695
N/A,South Carolina,?,?,?,?,277.3004496,300.29599,255.1240051,45.17198486
N/A,South Dakota,?,?,?,?,284.8817364,306.9399963,265.5799988,41.35999756
N/A,Tennessee,?,?,?,?,268.1757286,294.7399963,244.2180023,50.52199402
N/A,Texas,?,?,?,?,277.052649,298.8719971,255.9799957,42.89200134
N/A,Utah,?,?,?,?,280.6453697,304.8119995,258.0760071,46.73599243
N/A,Vermont,?,?,?,?,285.6455722,308.1140015,264.3460022,43.76799927
N/A,Virginia,?,?,?,?,281.6766434,305.2840027,259.4059998,45.87800293
N/A,Washington,?,?,?,?,281.1513644,305.873999,258.5900024,47.28399658
N/A,West Virginia,?,?,?,?,270.7703534,293.2160034,250.3839996,42.83200378
N/A,Wisconsin,?,?,?,?,283.9158657,308.5859985,262.1780029,46.40799561
N/A,Wyoming,?,?,?,?,283.5033499,305.1140015,263.6359985,41.47800293
NOTE: National public is included for reference only and is not included in sorting the jurisdictions. Score differences are calculated based on differences between unrounded average scale scores.,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2003 Mathematics Assessment.",,,,,,,,,
