[ID],Year,Institution,state,Tot Lic/Opt Exe,St-Ups Formed,Gross Lic Inc
95183,2010,Univ. of Alaska,AK,16,,"$13,500 "
20100285,2011,University of Alaska,AK,1,0,"$25,000 "
20120292,2012,University of Alaska Anchorage,AK,2,0,"$11,500 "
95182,1991,Univ. of AL/Birmingham,AL,17,,"$340,209 "
95182,1992,Univ. of AL/Birmingham,AL,23,,"$434,820 "
95182,1993,Univ. of AL/Birmingham,AL,22,,"$703,262 "
95181,1994,Univ. of AL in Huntsville,AL,0,0,"$2,434 "
95182,1994,Univ. of AL/Birmingham,AL,26,1,"$802,970 "
95241,1994,Univ. of South AL,AL,1,0,"$25,000 "
95007,1995,Auburn University,AL,4,0,"$85,304 "
95181,1995,Univ. of AL in Huntsville,AL,2,0,"$28,000 "
95182,1995,Univ. of AL/Birmingham,AL,35,4,"$984,251 "
95241,1995,Univ. of South AL,AL,0,0,$0 
95007,1996,Auburn University,AL,6,0,"$188,585 "
95182,1996,Univ. of Alabama/Birmingham,AL,27,3,"$1,139,656 "
95241,1996,Univ. of South Alabama,AL,4,0,"$50,000 "
95007,1997,Auburn University,AL,4,1,"$160,000 "
95182,1997,Univ. of Alabama/Birmingham,AL,35,5,"$2,218,603 "
95241,1997,Univ. of South Alabama,AL,5,0,"$100,000 "
95007,1998,Auburn University,AL,7,0,"$192,319 "
95182,1998,Univ. of Alabama/Birmingham,AL,41,6,"$1,429,339 "
95007,1999,Auburn University,AL,5,0,"$186,738 "
95182,1999,Univ. of Alabama/Birmingham,AL,40,2,"$1,562,778 "
95241,1999,Univ. of South Alabama,AL,0,0,"$7,178 "
95007,2000,Auburn University,AL,3,0,"$172,500 "
95182,2000,Univ. of Alabama/Birmingham,AL,37,5,"$3,724,463 "
95241,2000,Univ. of South Alabama,AL,9,3,"$395,186 "
95007,2001,Auburn University,AL,9,4,"$289,055 "
95182,2001,Univ. of Alabama Birmingham Research Fdn.,AL,18,,"$1,200,984 "
95241,2001,Univ. of South Alabama,AL,2,0,"$86,125 "
95007,2002,Auburn Univ.,AL,21,4,"$188,060 "
95182,2002,The UAB Research Fdn.,AL,24,,"$2,427,075 "
95241,2002,Univ. of South Alabama,AL,4,0,"$89,953 "
95007,2003,Auburn Univ.,AL,12,2,"$340,161 "
95182,2003,The UAB Research Fdn.,AL,15,,"$2,875,745 "
95241,2003,Univ. of South Alabama,AL,1,0,"$148,114 "
95007,2004,Auburn Univ.,AL,13,2,"$296,690 "
95182,2004,The UAB Research Fdn.,AL,14,,"$1,979,931 "
95181,2004,Univ. of Alabama in Huntsville,AL,8,2,"$750,000 "
95241,2004,Univ. of South Alabama,AL,1,,"$339,430 "
95007,2005,Auburn Univ.,AL,14,2,"$532,585 "
95182,2005,The UAB Research Fdn.,AL,17,2,"$8,040,594 "
95181,2005,Univ. of Alabama in Huntsville,AL,13,2,"$837,823 "
95241,2005,Univ. of South Alabama,AL,4,0,"$602,290 "
95007,2006,Auburn Univ.,AL,18,0,"$699,810 "
95182,2006,The UAB Research Fdn.,AL,11,1,"$4,685,000 "
95241,2006,Univ. of South Alabama,AL,1,0,"$1,218,684 "
20070261,2006,University of Alabama,AL,2,0,$0 
95007,2007,Auburn Univ.,AL,13,2,"$553,614 "
95182,2007,The UAB Research Fdn.,AL,17,0,"$3,503,204 "
95181,2007,Univ. of Alabama in Huntsville,AL,0,1,"$1,117,135 "
95241,2007,Univ. of South Alabama,AL,0,0,"$1,975,683 "
20070261,2007,University of Alabama,AL,5,4,"$150,000 "
95007,2008,Auburn Univ.,AL,14,1,"$675,132 "
95182,2008,The UAB Research Fdn.,AL,17,1,"$7,404,587 "
95181,2008,Univ. of Alabama in Huntsville,AL,3,10,"$1,024,247 "
95241,2008,Univ. of South Alabama,AL,0,0,"$2,022,116 "
20070261,2008,University of Alabama,AL,5,3,"$38,163 "
95007,2009,Auburn Univ.,AL,15,0,"$693,452 "
95182,2009,The UAB Research Fdn.,AL,29,5,"$2,668,761 "
95181,2009,Univ. of Alabama in Huntsville,AL,3,5,"$1,012,005 "
95241,2009,Univ. of South Alabama,AL,1,0,"$2,553,723 "
20070261,2009,University of Alabama,AL,3,2,"$5,005 "
95007,2010,Auburn Univ.,AL,25,1,"$770,134 "
