C15003: EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER - Universe: Population 25 years and over,,,,,,,,,,,,,,,,,,,,,,,
2013 American Community Survey 1-Year Estimates,,,,,,,,,,,,,,,,,,,,,,,
,Note: This is a modified view of the original table.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"Supporting documentation on code lists, subject definitions, data accuracy, and statistical testing can be found on the American Community Survey website in the Data and Documentation section.

Sample size and data quality measures (including coverage rates, allocation rates, and response rates) can be found on the American Community Survey website in the Methodology section.

",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"Although the American Community Survey (ACS) produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns and estimates of housing units for states and counties.

",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total:,,,,,,,,,,,,,,,,,,,
,,,,,,,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
Alabama,,Estimate,,"3,225,447",,,"41,140","13,011","31,883","72,157","71,859","104,170","104,361","60,067","824,476","176,658","193,365","517,237","258,110","476,016","202,435","44,899","33,603"
Alaska,,Estimate,,"462,659",,,"3,877","1,793","2,449","6,173","3,118","6,397","9,724","5,146","106,234","22,795","32,801","94,253","38,486","84,038","32,966","7,246","5,163"
Arizona,,Estimate,,"4,344,737",,,"54,599","37,888","86,342","97,362","69,286","76,352","101,028","89,347","902,311","176,838","320,720","769,346","374,877","741,982","319,970","72,087","54,402"
Arkansas,,Estimate,,"1,960,503",,,"24,334","13,395","22,540","48,637","43,747","55,032","63,861","33,892","570,932","120,882","130,892","308,610","119,812","262,755","101,291","23,117","16,774"
California,,Estimate,,"25,147,232",,,"636,554","449,025","975,937","475,895","522,217","376,987","525,015","646,377","4,660,364","568,529","1,458,165","4,066,032","1,980,401","4,905,468","1,935,122","583,878","381,266"
Colorado,,Estimate,,"3,514,235",,,"32,988","16,519","40,535","40,142","45,386","48,911","54,455","53,448","623,953","137,150","220,290","581,004","291,173","837,913","355,393","74,424","60,551"
Connecticut,,Estimate,,"2,465,315",,,"24,099","20,331","27,808","38,398","31,994","37,642","38,482","36,236","596,039","77,416","134,044","301,263","184,109","508,487","300,673","68,737","39,557"
Delaware,,Estimate,,"629,730",,,"7,620","2,777","4,906","9,459","8,701","17,069","14,000","9,015","175,148","21,578","38,700","85,095","48,277","108,075","57,865","11,174","10,271"
District of Columbia,,Estimate,,"453,014",,,"3,651","3,085","3,285","7,238","4,857","7,068","9,791","5,871","72,608","11,612","15,746","44,778","13,818","102,958","88,292","40,345","18,011"
Florida,,Estimate,,"13,726,996",,,"202,183","110,532","200,652","213,946","210,305","267,765","297,382","304,404","3,461,436","581,272","877,232","1,965,096","1,300,616","2,409,162","902,539","274,082","148,392"
Georgia,,Estimate,,"6,472,172",,,"90,490","42,068","88,577","138,909","130,580","160,928","176,233","112,034","1,528,378","321,685","370,230","1,001,809","477,132","1,149,847","481,823","124,458","76,991"
Hawaii,,Estimate,,"959,903",,,"9,635","5,128","12,181","10,501","10,063","14,603","12,260","11,994","242,657","20,654","57,035","153,885","100,056","199,229","66,047","19,326","14,649"
Idaho,,Estimate,,"1,026,889",,,"10,952","6,129","12,084","14,982","13,345","16,288","20,125","15,041","229,258","52,511","86,573","187,151","93,044","185,216","59,491","14,847","9,852"
Illinois,,Estimate,,"8,593,665",,,"105,758","58,011","150,929","159,021","117,256","138,212","157,455","158,360","2,007,048","314,225","565,936","1,246,409","654,943","1,698,605","776,179","179,096","106,222"
Indiana,,Estimate,,"4,312,892",,,"39,042","16,843","31,843","89,197","68,014","105,961","114,231","70,915","1,256,522","221,641","294,942","623,615","352,907","655,276","273,795","55,337","42,811"
Iowa,,Estimate,,"2,048,270",,,"15,020","4,728","8,793","35,904","20,838","28,491","32,123","26,416","583,114","87,231","152,509","285,121","226,473","370,188","116,336","29,703","25,282"
Kansas,,Estimate,,"1,872,445",,,"17,136","8,389","18,426","31,148","23,438","29,452","32,989","25,273","416,030","82,396","152,041","308,223","146,088","374,418","148,912","34,607","23,479"
Kentucky,,Estimate,,"2,953,653",,,"32,120","15,218","28,142","118,847","69,157","83,996","80,994","41,273","779,831","199,200","194,397","419,173","224,279","392,610","198,007","48,363","28,046"
Louisiana,,Estimate,,"3,034,973",,,"40,902","17,134","34,935","84,152","68,522","95,652","120,533","51,806","863,613","155,409","163,229","489,933","164,926","453,347","152,983","47,098","30,799"
Maine,,Estimate,,"953,962",,,"5,085","1,605","2,872","18,521","12,383","13,195","14,490","9,610","268,512","54,343","58,149","134,289","91,720","172,498","67,663","16,012","13,015"
Maryland,,Estimate,,"4,018,701",,,"46,748","22,760","40,710","55,179","56,351","75,801","71,747","66,776","902,742","128,109","249,366","545,995","252,612","814,992","472,174","118,336","98,303"
Massachusetts,,Estimate,,"4,604,795",,,"62,907","42,781","46,252","74,049","47,590","64,082","63,945","63,479","1,053,415","137,455","224,996","513,375","355,093","1,037,415","571,811","126,812","119,338"
Michigan,,Estimate,,"6,645,295",,,"75,361","19,123","34,876","89,992","79,106","133,793","161,177","109,211","1,705,953","265,972","501,009","1,088,111","594,224","1,089,029","514,299","104,552","79,507"
Minnesota,,Estimate,,"3,629,333",,,"35,817","9,140","18,365","49,273","28,072","39,962","47,838","46,238","841,327","113,752","246,719","549,770","386,177","813,237","279,738","75,405","48,503"
Mississippi,,Estimate,,"1,931,054",,,"26,707","14,085","24,933","56,249","45,401","61,875","75,083","36,161","478,850","112,390","113,397","329,933","162,584","248,488","104,166","23,099","17,653"
Missouri,,Estimate,,"4,047,283",,,"31,528","9,794","16,595","90,273","56,220","91,075","99,333","62,869","1,081,768","194,517","291,992","624,386","305,928","685,991","293,327","63,486","48,201"
Montana,,Estimate,,"689,169",,,"4,205",865,"1,125","8,917","6,531","9,524","11,422","7,892","171,036","29,267","51,044","129,266","58,287","135,518","44,501","12,062","7,707"
Nebraska,,Estimate,,"1,215,208",,,"11,982","8,122","14,677","18,187","15,818","15,528","19,505","14,694","288,248","41,347","92,705","198,278","119,325","238,160","81,414","22,745","14,473"
Nevada,,Estimate,,"1,872,884",,,"26,804","14,167","44,707","27,260","32,898","34,873","46,755","50,494","455,188","77,264","136,846","351,012","152,516","282,283","97,337","27,801","14,679"
New Hampshire,,Estimate,,"924,568",,,"6,248","1,242","4,331","14,660","7,268","10,523","11,474","11,142","232,141","38,685","57,182","122,461","87,766","202,495","87,955","15,513","13,482"
New Jersey,,Estimate,,"6,086,705",,,"78,576","52,129","94,330","106,985","69,252","90,881","102,485","104,427","1,588,693","162,643","304,286","715,243","390,906","1,374,616","615,250","146,050","89,953"
New Mexico,,Estimate,,"1,361,846",,,"22,421","16,884","33,089","28,298","23,887","29,334","39,022","21,511","300,111","61,442","77,921","242,747","105,811","204,226","110,651","20,788","23,703"
New York,,Estimate,,"13,419,310",,,"268,270","127,436","255,256","256,850","203,917","244,064","278,176","299,662","3,086,672","508,040","600,689","1,559,115","1,157,285","2,589,891","1,435,339","352,739","195,909"
North Carolina,,Estimate,,"6,568,110",,,"89,693","42,885","86,731","138,329","148,052","175,097","163,760","94,056","1,447,342","296,253","423,008","1,023,190","574,725","1,211,484","468,270","98,672","86,563"
North Dakota,,Estimate,,"467,815",,,"3,629","1,554","1,555","12,267","2,946","5,076","7,842","4,914","111,666","16,873","28,851","79,259","64,445","93,470","23,965","5,248","4,255"
Ohio,,Estimate,,"7,805,254",,,"73,084","17,724","28,822","128,468","103,508","176,717","197,569","130,697","2,362,627","306,199","528,409","1,071,231","639,633","1,279,678","552,339","126,124","82,425"
Oklahoma,,Estimate,,"2,506,437",,,"23,898","11,683","27,879","46,150","46,321","58,638","73,150","44,916","684,772","125,020","173,230","414,599","179,720","402,956","136,617","33,344","23,544"
Oregon,,Estimate,,"2,704,043",,,"28,454","15,763","32,926","34,406","34,793","37,511","48,509","44,944","529,879","125,991","228,084","483,456","228,207","521,031","218,084","51,075","40,930"
Pennsylvania,,Estimate,,"8,809,510",,,"90,192","26,162","43,755","153,447","112,559","182,886","204,963","137,764","2,852,262","357,539","475,034","953,547","692,226","1,540,228","703,617","162,375","120,954"
Rhode Island,,Estimate,,"719,956",,,"11,693","10,511","7,554","14,342","13,211","17,889","16,140","10,403","162,950","28,904","38,788","94,589","59,867","142,598","62,198","16,411","11,908"
South Carolina,,Estimate,,"3,198,816",,,"37,054","18,076","38,151","68,058","62,799","89,917","88,324","57,713","795,318","143,729","190,222","490,309","284,604","529,944","223,844","43,686","37,068"
South Dakota,,Estimate,,"550,959",,,"3,170",878,"1,838","13,416","5,010","7,250","8,603","6,230","147,676","25,025","34,979","87,722","62,856","104,240","29,835","6,862","5,369"
Tennessee,,Estimate,,"4,370,035",,,"50,091","27,596","41,042","126,887","81,826","109,729","119,172","74,208","1,159,044","278,714","277,371","650,678","291,304","681,475","274,942","70,763","55,193"
Texas,,Estimate,,"16,673,656",,,"318,930","268,642","552,463","379,966","453,907","349,039","404,981","289,869","3,422,208","785,461","1,037,530","2,727,847","1,090,662","3,044,921","1,123,846","251,403","171,981"
Utah,,Estimate,,"1,670,449",,,"13,234","7,344","18,165","10,174","19,297","16,393","27,646","29,029","333,172","49,027","132,527","331,626","159,320","348,502","123,296","26,895","24,802"
Vermont,,Estimate,,"436,174",,,"2,750","1,001","1,474","8,821","3,970","6,093","7,846","5,316","115,073","18,366","21,895","51,874","35,878","93,427","44,210","10,266","7,914"
Virginia,,Estimate,,"5,561,224",,,"62,338","27,763","57,153","113,787","78,931","110,450","113,941","82,061","1,161,523","218,963","328,196","790,023","405,760","1,172,309","614,517","129,618","93,891"
Washington,,Estimate,,"4,706,104",,,"51,429","30,196","52,060","54,019","51,345","61,476","76,891","86,181","903,852","191,737","355,802","801,218","449,430","984,473","393,851","95,103","67,041"
West Virginia,,Estimate,,"1,294,025",,,"10,967","5,001","9,340","44,560","32,593","41,571","38,259","17,279","438,318","82,217","77,190","164,078","87,697","146,732","70,945","17,164","10,114"
Wisconsin,,Estimate,,"3,879,291",,,"32,896","9,748","20,437","56,234","36,353","53,238","76,395","67,262","1,104,482","138,676","263,182","556,741","389,016","711,851","262,821","60,906","39,053"
Wyoming,,Estimate,,"383,914",,,977,772,"1,322","2,570","2,831","6,091","6,071","4,203","90,150","18,949","33,570","73,144","41,261","68,225","22,938","5,025","5,815"
Puerto Rico,,Estimate,,"2,417,418",,,"64,049","128,825","114,639","111,702","105,037","40,978","58,213","30,640","590,396","63,109","40,986","250,045","233,730","416,877","112,725","32,498","22,969"
,"Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data). The effect of nonsampling error is not represented in these tables.

",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"In data year 2013, there were a series of changes to data collection operations that could have affected some estimates. These changes include the addition of Internet as a mode of data collection, the end of the content portion of Failed Edit Follow-Up interviewing, and the loss of one monthly panel due to the Federal Government shut down in October 2013. For more information, see: User Notes

",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,"In ACS data prior to 2008, the category ""High school graduate"" includes respondents who received a GED or alternative credential as well as those who received a Regular high school diploma.

",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
