5-Year Survival Rate for Startup Establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AL,42.1%,41.2%,42.3%,45.1%,48.2%,45.7%,46.1%,51.8%,49.1%,48.4%,45.5%,50.1%,50.7%,52.2%,53.5%,50.4%,47.8%,46.9%,46.4%,46.6%,47.4%,46.9%,48.5%,48.7%,50.3%,52.4%,49.8%,49.3%,48.4%,48.0%,49.0%
AK,38.7%,39.5%,43.8%,47.1%,45.6%,38.9%,33.4%,31.9%,39.6%,38.4%,45.4%,47.6%,53.9%,51.4%,51.8%,48.6%,49.4%,46.8%,46.0%,46.5%,45.7%,48.5%,45.3%,52.9%,49.1%,49.8%,48.2%,45.5%,44.9%,48.5%,49.3%
AZ,40.0%,46.6%,43.7%,45.0%,45.8%,46.0%,46.1%,44.7%,44.1%,42.6%,42.1%,45.3%,48.3%,48.8%,48.5%,46.6%,46.0%,46.9%,45.9%,47.0%,44.1%,46.5%,46.3%,48.8%,49.7%,50.9%,48.8%,47.6%,43.5%,42.7%,42.8%
AR,38.4%,45.8%,44.6%,44.7%,46.5%,45.1%,45.1%,47.4%,46.5%,43.6%,46.2%,48.3%,50.6%,53.0%,51.2%,48.9%,46.7%,47.5%,44.9%,45.7%,45.8%,47.7%,49.4%,50.6%,50.8%,51.6%,47.4%,46.3%,46.5%,50.4%,48.1%
CA,42.8%,42.2%,44.0%,45.5%,49.4%,47.4%,47.5%,48.3%,49.6%,48.1%,45.0%,46.8%,47.9%,46.0%,45.5%,44.8%,45.5%,46.9%,46.8%,47.2%,47.0%,46.9%,46.7%,47.3%,48.1%,49.6%,47.3%,45.4%,45.0%,44.9%,45.6%
CO,39.2%,45.5%,42.0%,42.6%,44.7%,40.3%,41.2%,41.0%,42.3%,42.1%,43.9%,47.9%,51.1%,51.2%,51.0%,48.7%,47.4%,47.0%,46.2%,47.4%,45.9%,45.7%,46.6%,47.6%,46.9%,48.6%,47.1%,45.2%,44.8%,45.6%,44.6%
CT,49.5%,49.0%,51.3%,51.4%,54.4%,52.5%,52.2%,55.2%,55.1%,48.6%,44.8%,45.3%,48.6%,50.9%,52.8%,51.9%,51.5%,51.0%,51.8%,51.4%,50.7%,51.6%,51.5%,51.8%,49.8%,53.0%,49.1%,46.6%,47.1%,49.7%,49.3%
DE,43.7%,46.4%,50.1%,51.8%,56.6%,51.4%,51.0%,54.4%,53.1%,51.5%,50.1%,51.5%,50.6%,51.8%,50.5%,52.4%,52.0%,51.4%,53.3%,53.8%,50.6%,49.4%,49.7%,52.3%,49.1%,49.9%,48.3%,44.6%,46.5%,45.9%,48.6%
DC,47.9%,48.3%,47.6%,46.6%,53.6%,49.5%,50.8%,57.1%,54.4%,48.6%,45.7%,48.3%,51.7%,53.6%,56.2%,51.0%,50.9%,51.6%,51.5%,50.3%,51.9%,51.6%,50.3%,53.1%,54.8%,52.4%,54.1%,54.6%,52.2%,51.4%,51.8%
FL,43.3%,43.1%,44.3%,44.4%,46.6%,45.3%,44.6%,46.0%,45.6%,43.6%,42.1%,45.7%,47.5%,48.1%,47.1%,44.4%,43.3%,44.0%,43.6%,43.7%,43.4%,43.9%,44.9%,46.6%,46.4%,47.1%,45.1%,41.9%,38.7%,38.8%,41.6%
GA,43.1%,42.6%,45.5%,46.6%,50.5%,47.5%,48.1%,51.0%,48.4%,45.8%,44.0%,46.9%,50.3%,51.2%,51.1%,47.8%,46.9%,47.6%,46.5%,46.5%,46.3%,45.9%,46.0%,48.4%,49.5%,49.6%,47.8%,45.0%,44.0%,43.9%,44.3%
HI,46.2%,47.4%,46.7%,45.4%,50.5%,50.6%,50.4%,51.5%,54.5%,51.1%,49.5%,54.5%,55.3%,50.2%,49.7%,46.2%,47.6%,46.9%,48.5%,50.2%,48.5%,51.6%,54.6%,53.6%,52.4%,55.9%,52.3%,52.1%,47.6%,49.9%,48.9%
ID,37.0%,41.8%,41.5%,40.5%,44.9%,43.0%,42.9%,47.8%,52.5%,50.2%,49.1%,55.1%,55.7%,53.2%,53.4%,50.2%,47.3%,47.5%,46.6%,47.5%,46.9%,46.9%,47.6%,50.9%,51.3%,52.4%,48.8%,47.8%,45.4%,39.8%,40.7%
IL,46.1%,45.5%,48.0%,48.7%,51.7%,50.2%,51.0%,55.3%,56.7%,52.9%,50.7%,53.1%,53.8%,54.0%,54.2%,52.1%,52.1%,51.3%,51.5%,51.3%,51.0%,50.7%,50.2%,51.6%,51.5%,52.3%,49.8%,48.4%,47.8%,49.7%,49.1%
IN,46.4%,42.4%,47.1%,48.1%,49.2%,49.0%,54.7%,55.4%,54.6%,52.3%,49.1%,52.1%,55.5%,56.4%,56.3%,52.8%,51.5%,50.1%,49.6%,49.5%,48.8%,50.1%,50.8%,50.8%,51.4%,52.9%,48.6%,47.6%,49.3%,50.0%,49.7%
IA,46.1%,43.8%,46.6%,47.1%,48.8%,47.0%,46.0%,54.9%,54.1%,51.8%,51.3%,55.0%,57.2%,57.0%,56.7%,50.8%,52.5%,52.3%,52.7%,55.1%,55.9%,52.3%,53.2%,55.0%,53.7%,51.9%,50.0%,51.2%,51.4%,54.9%,52.6%
KS,44.7%,42.2%,43.9%,46.2%,47.9%,46.0%,45.2%,48.3%,47.5%,46.3%,46.4%,49.7%,52.1%,52.3%,53.2%,50.5%,49.3%,47.7%,48.6%,51.0%,49.4%,51.2%,50.3%,50.2%,50.2%,51.1%,49.4%,48.1%,47.6%,51.1%,50.1%
KY,43.4%,42.0%,43.3%,45.7%,48.7%,46.1%,45.6%,52.8%,53.4%,51.6%,46.1%,53.0%,54.1%,52.6%,51.5%,50.4%,49.0%,48.5%,49.4%,49.0%,49.0%,48.9%,50.3%,51.9%,51.3%,51.8%,48.4%,49.3%,49.1%,51.1%,50.0%
LA,44.6%,49.6%,46.6%,46.1%,46.2%,42.2%,42.0%,46.4%,43.0%,44.9%,44.8%,49.8%,53.5%,53.4%,54.9%,52.3%,49.9%,50.1%,48.8%,48.5%,47.8%,48.5%,49.9%,53.1%,48.8%,50.7%,49.7%,49.3%,50.6%,52.9%,51.0%
