Table 8-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individuals in science and engineering occupations as a percentage of all occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Individuals in S&E occupations,,,,,,,,,,,All occupations,,,,,,,,,,,S&E occupations/all occupations (%),,,,,,,,,
State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United States,"4,961,550","5,085,740","5,233,520","5,407,710","5,591,990","5,781,460","5,785,710","5,549,980","5,794,980","5,968,240",,"127,420,170","128,127,360","130,307,840","132,604,980","134,354,250","135,185,230","130,647,610","127,097,160","128,278,550","130,287,700",,3.89,3.97,4.02,4.08,4.16,4.28,4.43,4.37,4.52,4.58
Alabama ,"56,380","57,560","62,790","66,100","69,650","68,580","68,670","68,450","70,290","72,880",,"1,817,240","1,851,040","1,872,600","1,912,220","1,931,970","1,945,300","1,863,620","1,807,480","1,809,420","1,824,400",,3.10,3.11,3.35,3.46,3.61,3.53,3.68,3.79,3.88,3.99
Alaska ,"10,600","10,660","11,230","10,720","11,990","13,260","14,780","15,430","15,680","16,260",,"290,740","295,810","300,150","303,890","301,920","307,790","308,140","308,050","313,170","318,700",,3.65,3.60,3.74,3.53,3.97,4.31,4.80,5.01,5.01,5.10
Arizona,"92,120","95,380","96,410","98,110","102,380","102,100","102,820","102,870","115,330","116,930",,"2,275,410","2,370,810","2,437,100","2,574,150","2,648,000","2,637,830","2,479,120","2,367,120","2,380,200","2,414,340",,4.05,4.02,3.96,3.81,3.87,3.87,4.15,4.35,4.85,4.84
Arkansas ,"21,340","22,150","24,660","24,860","28,460","29,310","31,420","29,200","29,350","29,530",,"1,118,690","1,133,800","1,142,370","1,166,840","1,172,760","1,176,050","1,147,660","1,135,560","1,139,670","1,155,020",,1.91,1.95,2.16,2.13,2.43,2.49,2.74,2.57,2.58,2.56
California,"676,180","693,670","716,530","730,010","753,570","791,750","795,240","758,830","800,430","821,780",,"14,460,860","14,598,250","14,723,900","15,065,750","15,202,530","15,212,610","14,532,640","14,001,730","14,038,950","14,303,630",,4.68,4.75,4.87,4.85,4.96,5.20,5.47,5.42,5.70,5.75
Colorado,"124,140","126,280","126,110","133,730","138,990","147,000","148,090","143,210","144,750","149,020",,"2,097,650","2,130,430","2,151,520","2,207,120","2,258,240","2,302,340","2,234,250","2,157,690","2,179,060","2,226,160",,5.92,5.93,5.86,6.06,6.15,6.38,6.63,6.64,6.64,6.69
Connecticut,"81,380","82,820","83,930","79,380","80,280","80,290","79,160","74,990","76,550","78,450",,"1,631,610","1,640,840","1,648,070","1,658,980","1,682,220","1,697,810","1,648,950","1,598,640","1,608,820","1,620,620",,4.99,5.05,5.09,4.78,4.77,4.73,4.80,4.69,4.76,4.84
Delaware ,"17,370","17,980","18,010","21,550","22,140","22,330","22,200","20,920","22,430","23,440",,"403,650","413,940","417,550","424,270","425,960","425,210","412,570","397,730","403,430","405,750",,4.30,4.34,4.31,5.08,5.20,5.25,5.38,5.26,5.56,5.78
