Note:,"The data presented in this report were created to calculate the Strive HI index. Due to situations specific to the calculation of an index, some of the data points may not match published data for similar measures. Fuller descriptions of the Strive HI data collection business rules are below. For this reason, please use caution when comparing these data to other data sets. 

All numbers are rounded to the nearest integer."
School ID,This is the identifier the numeric identifier that the DOE uses to identify schools.  Other published data may have this number
Year,The year to which these accountability data refer: 2013-2014 SY
School Name,The common school name
School Type for Strive HI,"This lists whether the school was considered an elementary, middle or high school for the purposes of the Strive HI system"
Title I,Indicating whether the school was a Title I school in 2013-2014.
Complex Area,Complex area that the school belongs to
Strive HI Step,"One of five levels that schools can be classified into: Recognition, Continuous Improvement, Focus, Priority and Classification Not Determined"
Final Index Score,"The school's index score, out of 400 points"
Math Proficiency (%),"Percentage of students enrolled the full school year who scored proficient or higher on the Hawaii State Assessment in Math.  For some schools this value is adjusted for a low participation penalty.  When fewer than 30 students were tested, data were pooled from multiple years to achieve an appropriate n-size."
Math Participation Penalty?,"Indicator that the school did not test 95% of its students, and that students were added to the school's total to reach 95% test participation"
Math Proficiency - Pooled Data?,Yes - indicates that more than one year of data was used in order to create more reliable measures.  At most three years of data were used.
Reading Proficiency (%),"Percentage of students enrolled the full school year who scored proficient or higher on the Hawaii State Assessment in Reading.  For some schools this value is adjusted for a low participation penalty. When fewer than 30 students were tested, data were pooled from multiple years to achieve an appropriate n-size."
Reading Participation Penalty?,"Indicator that the school did not test 95% of its students, and that students were added to the school's total to reach 95% test participation"
Reading Proficiency - Pooled Data?,Yes - indicates that more than one year of data was used in order to create more reliable measures.  At most three years of data were used.
Science Proficiency (%),Percentage of students enrolled the full school year who scored proficient or higher on the Hawaii State Assessment in Science.  For some schools this value is adjusted for a low participation penalty.
Science Participation Penalty?,"Indicator that the school did not test 95% of its students, and that students were added to the school's total to reach 95% test participation"
Science Proficiency - Pooled Data?,Yes - indicates that more than one year of data was used in order to create more reliable measures.  At most three years of data were used.
Math Median SGP,"Median student growth percentile in math.  When fewer than 30 students were tested, data were pooled from multiple years to achieve an appropriate n-size."
Math SGP - Used Pooled Data,Yes - indicates that more than one year of data was used in order to create more reliable measures.  At most three years of data were used.
Reading Median SGP,"Median student growth percentile in reading. When fewer than 30 students were tested, data were pooled from multiple years to achieve an appropriate n-size."
Reading SGP - Pooled Data?,Yes - indicates that more than one year of data was used in order to create more reliable measures.  At most three years of data were used.
Chronic Absenteeism (%),The percentage of students enrolled for the full school year that missed 15 or more days of school.  Kindergarten students are not included in this calculation
