School ID,Year,School Name,School Type for Strive HI,Title I,Complex Area,Final Index Score,Strive HI Step,Math Proficiency (%),Math Participation Penalty?,Math Proficiency - Pooled Data?,Reading Proficiency (%),Reading Participation Penalty?,Reading Proficiency - Pooled Data?,Science Proficiency (%),Science Participation Penalty?,Science Proficiency - Pooled Data?,Math Median SGP,Math SGP - Used Pooled Data,Reading Median SGP,Reading SGP - Pooled Data?,Chronic Absenteeism (%),Pct. Scoring at or Above 15 on 8th Grade ACT (%),8th Grade ACT Participation Penalty?,Pct. Scoring at or above 19 on 11th grade ACT (%),11th Grade ACT Participation Penalty?,Graduation Rate Used for 2014 HS Readiness Calculation (%),Graduation Rate - Pooled Data?,Class of 2012 16-month College Enrollment Rate (%),2013-14 Non High-Needs Proficiency (%),2013-14 High-Needs Proficiency (%),Current Gap Rate (%),2011-12 Non High-Needs Proficiency (%),2011-12 High-Needs Proficiency (%),2011-12 Gap Rate (%),"Two-Year Gap Reduction Rate (%) 
(negative numbers indicate gap has grown)",Used Achievement Gap Exemption in 2013-14,2011-12 All Students Graduation Rate (%),2012-13 High-Needs Graduation Rate (%),2011-12 High-Needs Graduation Rate (%),2012-13 Non High-Needs Graduation Rate (%),2011-12 Non High-Needs Graduation Rate (%),2013 Graduation Rate Gap (%),Automatic Classification Reason,**Data will be Suppressed for Student Privacy
100,2014,Aina Haina El,Elementary,,Farrington-Kaiser-Kalani,262,Continuous Improvement,81,,,85,,,85,,,60,,53,,5,,,,,,,,91,59,35,94,59,37,7,,,,,,,,None,
101,2014,Ala Wai El,Elementary,Yes,Kaimuki-McKinley-Roosevelt,231,Continuous Improvement,69,,,64,,,59,,,61,,52,,11,,,,,,,,92,59,35,93,65,30,-20,,,,,,,,None,
102,2014,Aliiolani El,Elementary,Yes,Kaimuki-McKinley-Roosevelt,241,Continuous Improvement,78,,,78,,,45,,,60,,50,,4,,,,,,,,91,68,26,97,74,23,-10,,,,,,,,None,
103,2014,Anuenue,High,Yes,Kaimuki-McKinley-Roosevelt,161,Continuous Improvement,12,Yes,,24,Yes,,2,Yes,,46,,56,,,,,7,Yes,94,Yes,57,--,--,51,--,--,--,-22,,--,--,--,--,--,--,None,Yes
104,2014,Central Mid,Middle,Yes,Kaimuki-McKinley-Roosevelt,96,Continuous Improvement,38,,,48,,,17,,,41,,46,,,24,Yes,,,,,,72,40,44,86,53,38,-15,,,,,,,,None,
105,2014,Dole Mid,Middle,Yes,Farrington-Kaiser-Kalani,75,Priority,35,,,47,,,10,,,36,,41,,,26,Yes,,,,,,69,37,47,78,44,44,-6,,,,,,,,Carry Over,
106,2014,Farrington High,High,Yes,Farrington-Kaiser-Kalani,182,Continuous Improvement,43,,,54,Yes,,22,Yes,,61,,45,,,,,18,Yes,75,,56,68,42,38,73,51,30,-27,,70,70,65,87,79,20,None,
107,2014,Fern El,Elementary,Yes,Farrington-Kaiser-Kalani,142,Continuous Improvement,52,,,54,,,36,,,49,,38,,12,,,,,,,,80,50,37,94,58,,,,,,,,,,None,
108,2014,Hahaione El,Elementary,,Farrington-Kaiser-Kalani,331,Recognition,87,,,90,,,83,,,54,,60,,7,,,,,,,,91,77,16,95,64,32,51,,,,,,,,High-Performing,
109,2014,Hokulani El,Elementary,,Kaimuki-McKinley-Roosevelt,390,Recognition,92,,,92,,,91,,,74,,62,,2,,,,,,,,96,85,12,96,82,15,19,Yes,,,,,,,High-Performing,
110,2014,Jarrett Mid,Middle,Yes,Kaimuki-McKinley-Roosevelt,124,Continuous Improvement,54,,,64,,,40,,,42,,48,,,40,,,,,,,91,53,42,97,61,37,-13,,,,,,,,None,
