,WINDWARD COMMUNITY COLLEGE,,
,,,
,GRADUATION AND PERSISTENCE RATES,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,
,,,
,,,
,,,Fall 2010
,,,Cohort
,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,12%
,,,
,Gender,,
,,Men ………………………………………………………………………………………………………………….,10%
,,Women ………………………………………………………………………………………………………..,13%
,,,
,IPEDS Race/Ethnicity,,
,,Nonresident Alien ………………………………………………………………………………………..,#
,,Hispanic/Latino ……………………………………………………………………………………….,17%
,,American Indian or Alaska Native ………………………………………………………………….,#
,,Asian …………………………………………………………………………………………………,12%
,,Black or African American ………………………………………………………………………….,#
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,5%
,,White ………………………………………………………………………………………………..,12%
,,Two or more races …………………………………………………………………………………,13%
,,Race and ethnicity unknown ………………………………………………………………………,#
,,,
,Federal Grant/Loan Recipient,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,7%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,27%
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,16%
,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,19%
,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,24%
,,,
,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,
,,,
,,,
,,,
,,,
,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,
