Country: USA,,,,,,,,,
Variable: Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"8,073","5,220","4,702","5,091","2,858","2,186",,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"14,372","21,952","30,565","45,747","35,417","34,156","18,792","14,661","17,313"
m) ALL,"22,445","27,172","35,267","50,838","38,275","36,342","18,792","14,661","17,313"
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,239","3,516","3,493","2,596","1,673",960,D,D,
b) 1,"3,042","4,933","4,810","6,036","3,457","2,183",D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"13,004","20,676","29,089","44,195","34,420","35,261","19,009","16,083","17,068"
m) ALL,"22,285","29,125","37,392","52,827","39,550","38,404","20,553","18,408","17,068"
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,775","4,212","3,568","3,947",842,D,D,,D
b) 1,"2,816","3,410","3,511","4,404","2,559","1,701",D,"2,265",D
c) 2,"2,571","4,155","4,788","6,192","2,972",D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"11,358","19,600","28,606","42,332","36,216","33,010","16,988","16,798","25,406"
m) ALL,"23,520","31,377","40,473","56,875","42,589","38,237","18,471","19,063","28,937"
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,674","3,850","2,794","3,172","2,443","1,437",,,
b) 1,"2,669","3,773","3,907","4,598","2,923",D,D,D,D
c) 2,"2,191","2,872","3,406","3,955","1,980","2,680",D,D,"4,001"
d) 3,"2,138","3,563","4,703","5,418","2,990",D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"10,083","17,802","26,165","40,500","35,000","33,150","17,337","16,675","20,924"
m) ALL,"23,755","31,860","40,975","57,643","45,336","40,540","18,426","18,680","27,147"
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,135","4,441","3,134","4,879","3,290","1,553",D,D,
b) 1,"2,671","3,512","3,236","3,412","2,207","2,709","1,144",,
c) 2,"2,099","3,058","3,555","4,533","1,806","1,906",D,D,D
d) 3,"1,715","2,484","2,794","3,723","1,112","2,048",D,D,"3,716"
e) 4,"1,684","3,108","4,083","4,555","2,743","1,381",D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"9,075","15,835","24,074","38,664","32,142","34,641","15,649","14,616","21,735"
m) ALL,"23,379","32,438","40,876","59,766","43,300","44,238","19,064","17,439","27,722"
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,524","3,936","3,854","4,332","1,733",D,,D,
b) 1,"2,456","3,163","3,971","3,735","3,353","3,353",D,D,D
c) 2,"2,235","2,902","2,933","3,272","2,216",D,744,,D
d) 3,"1,860","2,569","2,824","4,165","1,439","1,671",D,D,D
e) 4,"1,534","2,231","2,580","3,224","1,655","2,128",D,D,D
f) 5,"1,516","3,107","3,433","4,146","2,844",D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
