Country: USA,,,,,,,,,
Variable: Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,658",431,180,90,21,7,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"6,426","3,465","2,301","1,498",512,239,50,22,13
m) ALL,"9,084","3,896","2,481","1,588",533,246,50,22,13
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,212",279,130,44,11,4,2,1,
b) 1,"1,286",747,345,199,49,16,1,1,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,594","3,182","2,158","1,458",513,233,53,24,13
m) ALL,"9,092","4,208","2,633","1,701",573,253,56,26,13
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,300",345,137,73,7,4,1,,1
b) 1,"1,213",499,247,137,35,11,2,3,1
c) 2,"1,056",635,366,210,44,17,,,1
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,842","3,014","2,120","1,386",524,228,50,25,17
m) ALL,"9,411","4,493","2,870","1,806",610,260,53,28,20
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,321",318,111,54,19,6,,,
b) 1,"1,220",579,283,149,42,7,2,1,1
c) 2,976,460,251,130,31,15,1,2,3
d) 3,889,558,365,185,44,14,,,1
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,415","2,820","1,968","1,351",512,231,50,26,17
m) ALL,"9,821","4,735","2,978","1,869",648,273,53,29,22
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,142",364,121,83,25,5,1,1,
b) 1,"1,186",526,231,110,32,19,3,,
c) 2,953,475,264,146,30,11,2,1,1
d) 3,773,399,215,122,19,16,2,2,3
e) 4,716,494,316,148,42,11,1,,1
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,018","2,489","1,815","1,290",466,233,44,22,15
m) ALL,"9,788","4,747","2,962","1,899",614,295,53,26,20
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,289",321,151,76,12,8,,1,
b) 1,"1,150",498,299,125,52,23,2,2,1
c) 2,990,470,222,108,31,16,3,,1
d) 3,828,414,224,142,22,12,2,1,1
e) 4,663,357,197,114,22,12,2,2,2
f) 5,642,469,262,141,42,9,,,1
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,700","2,316","1,711","1,189",452,214,42,25,11
m) ALL,"10,262","4,845","3,066","1,895",633,294,51,31,17
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,152",235,94,58,11,7,1,,
b) 1,"1,301",551,270,155,35,14,4,,1
c) 2,985,424,278,128,45,21,2,2,1
d) 3,870,401,188,109,19,18,2,,1
e) 4,745,392,193,118,25,8,2,,1
f) 5,603,352,182,96,21,13,2,2,2
g) 6 to 10,598,432,233,144,36,10,,,2
