Country: USA,,,,,,,,,
Variable: Estabs_Entry_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,195.2,195.4,192.2,197.8,200.0,200.0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m) ALL,30.0,11.1,7.0,5.6,4.0,2.9,0.0,0.0,0.0
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.0,198.6,198.5,200.0,181.8,200.0,200.0,200.0,
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.4,0.5,0.2,0.7,0.0,0.0,1.9,0.0,0.0
m) ALL,26.5,7.0,5.1,3.2,1.7,1.6,5.5,3.8,0.0
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.8,199.4,200.0,200.0,200.0,200.0,200.0,,0.0
b) 1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c) 2,6.2,1.4,1.9,0.0,2.2,0.0,,,0.0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,3.1,1.1,0.4,0.6,0.2,0.0,2.0,0.0,0.0
m) ALL,27.9,8.7,5.4,4.5,1.5,1.5,3.8,0.0,0.0
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.4,198.7,200.0,196.3,200.0,200.0,,,
b) 1,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0
c) 2,4.7,0.8,0.8,0.0,0.0,6.3,0.0,0.0,0.0
d) 3,4.4,1.2,0.3,0.5,0.0,0.0,,,0.0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,3.3,1.1,0.8,0.6,0.2,0.0,0.0,0.0,0.0
m) ALL,27.1,7.6,4.4,3.4,3.1,2.6,0.0,0.0,0.0
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.3,200.0,200.0,200.0,200.0,200.0,200.0,200.0,
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
c) 2,3.9,0.2,1.1,0.7,0.0,0.0,0.0,0.0,0.0
d) 3,2.9,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0
e) 4,3.6,0.4,0.3,0.7,0.0,0.0,0.0,,0.0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.5,1.2,0.6,0.3,0.2,0.0,0.0,0.0,0.0
m) ALL,23.8,8.5,4.7,4.7,4.3,1.7,1.9,3.9,0.0
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.8,199.4,200.0,197.4,200.0,200.0,,200.0,
b) 1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c) 2,7.3,1.0,0.4,0.0,0.0,0.0,0.0,,200.0
d) 3,5.4,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0
e) 4,5.0,1.9,2.0,0.9,4.7,0.0,0.0,0.0,0.0
f) 5,4.8,1.9,1.5,0.0,0.0,0.0,,,0.0
g) 6 to 10,,,,,,,,,
