Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,22.7,6.9,5.9,5.6,2.7,1.2,3.9,0.0,0.0
m) ALL,19.2,6.5,5.7,5.5,2.6,1.2,3.9,0.0,0.0
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
b) 1,38.5,7.6,6.2,4.9,7.8,22.2,0.0,0.0,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,18.8,5.8,3.2,3.2,2.1,1.7,1.9,4.1,0.0
m) ALL,20.1,5.9,3.6,3.4,2.6,3.1,1.8,3.8,0.0
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
b) 1,30.5,6.8,4.7,0.7,0.0,8.7,0.0,0.0,0.0
c) 2,26.3,7.3,2.7,3.3,6.7,5.7,,,0.0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.5,4.8,3.2,2.1,1.7,0.9,4.0,0.0,0.0
m) ALL,18.5,5.3,3.2,2.1,2.0,1.5,3.8,0.0,0.0
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,31.8,7.0,5.2,6.5,0.0,0.0,0.0,0.0,0.0
c) 2,23.1,8.9,5.8,7.4,6.3,18.8,0.0,0.0,0.0
d) 3,25.9,7.5,3.0,2.7,8.7,0.0,,,0.0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,16.0,4.6,3.5,2.1,1.7,0.4,0.0,0.0,0.0
m) ALL,18.4,5.5,3.7,2.9,2.3,1.5,0.0,0.0,0.0
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
b) 1,38.2,10.4,5.1,5.3,3.1,0.0,0.0,,
c) 2,31.1,9.6,7.3,6.6,0.0,0.0,0.0,0.0,0.0
d) 3,29.0,8.2,9.8,5.6,10.0,0.0,0.0,0.0,0.0
e) 4,30.6,10.6,6.7,6.6,2.4,0.0,0.0,,0.0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.0,6.3,3.5,2.5,1.5,0.9,2.2,0.0,0.0
m) ALL,23.1,7.5,4.7,3.5,1.8,0.7,1.9,0.0,0.0
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
b) 1,32.4,9.0,3.6,8.4,7.4,0.0,0.0,0.0,0.0
c) 2,26.3,6.0,6.1,6.3,3.2,0.0,0.0,,0.0
d) 3,24.7,6.8,4.4,3.5,0.0,0.0,0.0,0.0,0.0
e) 4,23.7,5.8,6.5,0.9,0.0,8.0,0.0,0.0,0.0
f) 5,19.8,5.4,3.8,4.2,4.7,0.0,,,0.0
g) 6 to 10,,,,,,,,,
