Country: USA,,,,,,,,,
Variable: Firmdeath_Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,037","1,963","2,314","2,244",D,D,.,.,.
m) ALL,"3,037","1,963","2,314","2,244",654,344,.,.,.
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,.,
b) 1,946,421,243,173,.,.,.,.,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,159","1,469",859,647,D,D,.,.,.
m) ALL,"3,105","1,890","1,102",820,460,205,.,.,.
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,.
b) 1,774,256,280,D,.,D,.,.,.
c) 2,573,304,142,165,.,.,,,.
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,899","1,116",900,D,D,.,D,.,.
m) ALL,"3,246","1,676","1,322",814,140,226,"1,151",.,.
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,,,
b) 1,883,424,234,514,.,.,.,.,.
c) 2,532,367,D,D,D,D,.,.,.
d) 3,473,298,D,D,.,.,,,.
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,409",979,698,646,D,D,.,.,.
m) ALL,"3,297","2,068","1,266","1,518",587,964,.,.,.
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,.,
b) 1,"1,055",480,239,D,D,.,.,,
c) 2,671,433,339,334,.,.,.,.,.
d) 3,500,234,276,D,D,.,.,.,.
e) 4,344,336,207,D,D,.,.,,.
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,347","1,027",580,375,D,.,D,.,.
m) ALL,"3,917","2,510","1,641","1,280",607,.,628,.,.
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,,.,
b) 1,741,327,118,D,D,.,.,.,.
c) 2,465,217,203,D,D,.,.,,.
d) 3,386,195,D,D,.,.,.,.,.
e) 4,244,164,86,.,.,.,.,.,.
f) 5,211,123,94,160,.,.,,,.
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,043",605,D,674,.,D,.,.,.
m) ALL,"3,090","1,631","1,526","1,495",327,337,.,.,.
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,745,335,393,240,D,D,.,,.
c) 2,548,269,181,366,.,.,.,.,.
d) 3,429,305,171,165,D,D,.,,.
e) 4,270,146,114,.,.,.,.,,.
f) 5,241,128,D,D,.,.,.,.,.
g) 6 to 10,178,139,D,D,.,.,,,.
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
