Country: USA,,,,,,,,,
Variable: Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,882","5,099","4,514","5,051","2,858","2,186",,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,085","3,053","4,051","5,831","4,763","3,367","3,260",604,979
m) ALL,"9,967","8,152","8,565","10,882","7,621","5,553","3,260",604,979
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,197","3,489","3,474","2,596","1,572",960,D,D,
b) 1,774,"1,241","1,135","1,456",761,171,D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,230","3,228","4,162","6,401","3,604","4,957","3,299",896,766
m) ALL,"9,201","7,958","8,771","10,453","5,937","6,088","4,541","2,745",766
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,734","4,200","3,568","3,947",842,D,D,,D
b) 1,735,"1,070",894,"1,482",810,351,D,"1,047",D
c) 2,650,925,897,"1,250",436,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,880","2,958","3,806","5,660","4,199","2,958","2,178","1,195","6,407"
m) ALL,"9,999","9,153","9,165","12,339","6,287","4,867","3,439","2,242","6,546"
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,624","3,828","2,794","3,123","2,443","1,437",,,
b) 1,550,935,"1,054","1,117",978,D,D,D,D
c) 2,467,520,697,734,299,"1,055",D,D,"1,113"
d) 3,395,654,711,715,435,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,327","2,157","3,075","4,484","3,784","2,832","1,726",618,864
m) ALL,"9,363","8,094","8,331","10,173","7,939","6,033","1,783",789,"1,991"
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,096","4,441","3,134","4,879","3,290","1,553",D,D,
b) 1,660,949,786,806,391,390,601,,
c) 2,407,623,774,859,102,506,D,D,D
d) 3,293,445,445,410,48,340,D,D,129
e) 4,269,441,572,746,406,38,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,066","2,009","2,685","3,639","2,801","3,721",684,646,"2,771"
m) ALL,"8,791","8,908","8,396","11,339","7,038","6,548","1,857","1,802","3,048"
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,488","3,923","3,854","4,291","1,733",D,,D,
b) 1,545,801,837,738,480,861,D,D,D
c) 2,558,512,585,545,517,D,66,,D
d) 3,374,383,395,502,189,126,D,D,D
e) 4,295,368,485,402,561,649,D,D,D
f) 5,264,563,483,531,259,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,312","1,727","2,174","3,450","2,810","2,326",704,627,301
m) ALL,"9,836","8,277","8,813","10,459","6,549","6,495",909,"2,419","6,999"
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
