Country: USA,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,882","5,099","4,514","5,051","2,858","2,186",,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0,0,0,0,0,0,0,0,0
m) ALL,"7,882","5,099","4,514","5,051","2,858","2,186",0,0,0
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,197","3,489","3,474",D,"1,572",960,D,D,
b) 1,0,0,0,0,0,0,0,0,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,368,174,89,D,0,0,D,0,0
m) ALL,"6,565","3,663","3,563","3,118","1,572",960,"1,767","1,231",0
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"4,200","3,568","3,947",842,"1,297",D,,0
b) 1,D,0,0,0,0,0,0,0,0
c) 2,D,102,177,0,D,0,,,0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,482,420,224,483,D,0,D,0,0
m) ALL,"7,445","4,722","3,969","4,430","1,148","1,297","1,196",0,0
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,624","3,828","2,794","3,123",D,D,,,
b) 1,0,0,D,D,0,0,0,0,0
c) 2,145,41,D,0,0,D,0,0,0
d) 3,122,102,D,D,0,0,,,0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,473,396,372,D,D,0,0,0,0
m) ALL,"7,364","4,367","3,268","3,755","2,572","1,883",0,0,0
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,096","4,441","3,134","4,879",D,"1,553",D,D,
b) 1,0,0,0,0,0,0,0,,
c) 2,97,D,96,D,0,0,0,0,0
d) 3,55,D,D,0,0,0,0,0,0
e) 4,87,D,D,D,0,0,0,,0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,364,385,284,D,D,0,0,0,0
m) ALL,"6,699","4,947","3,594","5,181","3,433","1,553",551,"1,028",0
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,488","3,923","3,854",D,D,"2,269",,D,
b) 1,0,D,0,0,0,0,0,0,0
c) 2,270,58,D,0,0,0,0,,D
d) 3,133,D,D,0,0,0,0,0,0
e) 4,115,91,97,D,D,0,0,0,0
f) 5,101,D,D,0,0,0,,,0
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,482,400,450,651,544,0,0,0,0
m) ALL,"7,589","4,672","4,592","4,987","2,394","2,269",0,"1,725","5,724"
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,030","2,924","2,420","3,450",D,"2,197",D,,
b) 1,D,0,0,D,0,0,0,,0
c) 2,201,59,D,D,0,0,0,0,0
d) 3,84,D,D,0,0,0,0,,0
e) 4,D,D,0,0,0,0,0,,0
f) 5,35,D,0,D,0,0,0,0,0
