Country: USA,,,,,,,,,
Variable: Job_Creation_Continuers,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,085","3,053","4,051","5,831","4,763","3,367","3,260",604,979
m) ALL,"2,085","3,053","4,051","5,831","4,763","3,367","3,260",604,979
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,D,0,0,D,D,
b) 1,774,"1,241","1,135","1,456",761,171,D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,862","3,054","4,073",D,"3,604","4,957",D,896,766
m) ALL,"2,636","4,295","5,208","7,335","4,365","5,128","2,774","1,514",766
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,0,0,0,0,D,D,,D
b) 1,D,"1,070",894,"1,482",810,351,D,"1,047",D
c) 2,D,823,720,"1,250",D,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,398","2,538","3,582","5,177",D,"2,958",D,"1,195","6,407"
m) ALL,"2,554","4,431","5,196","7,909","5,139","3,570","2,243","2,242","6,546"
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,D,D,,,
b) 1,550,935,D,D,978,D,D,D,D
c) 2,322,479,D,734,299,D,D,D,"1,113"
d) 3,273,552,D,D,435,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,854,"1,761","2,703",D,D,"2,832","1,726",618,864
m) ALL,"1,999","3,727","5,063","6,418","5,367","4,150","1,783",789,"1,991"
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,D,0,D,D,
b) 1,660,949,786,806,391,390,601,,
c) 2,310,D,678,D,102,506,D,D,D
d) 3,238,D,D,410,48,340,D,D,129
e) 4,182,D,D,D,406,38,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,702,"1,624","2,401",D,D,"3,721",684,646,"2,771"
m) ALL,"2,092","3,961","4,802","6,158","3,605","4,995","1,306",774,"3,048"
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,D,D,D,,D,
b) 1,545,D,837,738,480,861,D,D,D
c) 2,288,454,D,545,517,D,66,,D
d) 3,241,D,D,502,189,126,D,D,D
e) 4,180,277,388,D,D,649,D,D,D
f) 5,163,D,D,531,259,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,830,"1,327","1,724","2,799","2,266","2,326",704,627,301
m) ALL,"2,247","3,605","4,221","5,472","4,155","4,226",909,694,"1,275"
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,D,D,D,,
b) 1,D,895,891,D,274,D,165,,D
c) 2,308,449,D,D,471,468,176,D,D
d) 3,273,D,D,429,204,411,D,,D
