Country: USA,,,,,,,,,
Variable: Job_Creation_Rate_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,190.8,190.9,184.6,196.8,200.0,200.0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m) ALL,38.2,19.5,13.0,10.0,7.8,6.2,0.0,0.0,0.0
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.3,196.9,197.8,D,177.2,200.0,D,D,
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.6,0.8,0.3,D,0.0,0.0,D,0.0,0.0
m) ALL,31.4,13.0,9.9,6.0,4.0,2.6,9.1,6.9,0.0
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,198.9,200.0,199.9,200.0,D,D,,D
b) 1,D,0.0,0.0,0.0,0.0,0.0,D,0.0,D
c) 2,D,2.4,3.7,0.0,D,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,3.9,2.1,0.8,1.1,D,0.0,D,0.0,0.0
m) ALL,34.1,15.8,10.1,8.1,2.7,3.4,6.5,0.0,0.0
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.0,197.7,200.0,193.9,D,D,,,
b) 1,0.0,0.0,D,D,0.0,D,D,D,D
c) 2,6.0,1.3,D,0.0,0.0,D,D,D,0.0
d) 3,4.9,2.7,D,D,0.0,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,4.2,2.1,1.4,D,D,0.0,0.0,0.0,0.0
m) ALL,32.6,13.9,8.1,6.6,5.8,4.8,0.0,0.0,0.0
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.5,200.0,200.0,200.0,D,199.9,D,D,
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
c) 2,3.8,D,2.6,D,0.0,0.0,D,D,D
d) 3,2.7,D,D,0.0,0.0,0.0,D,D,0.0
e) 4,4.2,D,D,D,0.0,0.0,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,3.5,2.3,1.1,D,D,0.0,0.0,0.0,0.0
m) ALL,28.6,15.4,8.8,8.8,8.1,3.6,2.9,6.0,0.0
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.8,198.6,200.0,D,D,D,,D,
b) 1,0.0,D,0.0,0.0,0.0,0.0,D,D,D
c) 2,10.8,1.9,D,0.0,0.0,D,0.0,,D
d) 3,6.2,D,D,0.0,0.0,0.0,D,D,D
e) 4,6.7,3.8,3.5,D,D,0.0,D,D,D
f) 5,5.9,D,D,0.0,0.0,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,5.1,2.6,1.9,1.8,1.7,0.0,0.0,0.0,0.0
m) ALL,31.8,14.5,10.9,8.5,5.4,5.2,0.0,8.0,20.7
,           1983,Estab Size,,,,,,,
