Country: USA,,,,,,,,,
Variable: Job_Destruction_Continuers,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,893","3,047","3,598","4,975","3,018","2,885",398,338,171
m) ALL,"1,893","3,047","3,598","4,975","3,018","2,885",398,338,171
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,
b) 1,320,689,548,"1,002",348,253,D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,335","2,280","2,955","4,622","3,549","1,496","1,923",131,333
m) ALL,"1,655","2,969","3,503","5,624","3,897","1,749","1,945",131,333
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,D
b) 1,362,463,473,699,402,479,D,25,D
c) 2,392,646,691,800,547,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,242","2,132","3,007","4,171","2,558","3,732","1,816",155,69
m) ALL,"1,996","3,241","4,171","5,670","3,507","4,440","1,885",180,69
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,399,596,588,810,404,D,D,D,D
c) 2,266,484,446,436,223,105,D,D,66
d) 3,280,634,689,809,281,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,281","2,458","2,894","4,052","2,935","2,782","1,251","1,292","5,346"
m) ALL,"2,226","4,172","4,617","6,107","3,843","3,079","1,283","1,354","5,412"
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,
b) 1,407,572,470,436,350,458,50,,
c) 2,298,496,561,612,482,91,D,D,D
d) 3,278,431,413,413,190,616,D,D,414
e) 4,213,478,629,503,409,205,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,214","2,033","2,723","4,253","2,728","2,852","1,276",573,"2,002"
m) ALL,"2,410","4,010","4,796","6,217","4,159","4,222","1,525",911,"2,515"
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,,D,
b) 1,528,574,638,627,722,567,D,D,D
c) 2,337,632,598,478,488,D,466,,D
d) 3,294,505,658,790,150,450,D,D,D
e) 4,203,400,433,613,208,216,D,D,D
f) 5,236,445,511,475,243,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,066","2,167","2,900","4,188","4,477","3,631","1,282","1,784",335
m) ALL,"2,664","4,723","5,738","7,171","6,288","5,487","1,847","1,845",335
,           1983,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,328,546,514,552,197,D,253,,D
c) 2,303,369,493,426,501,486,72,D,D
d) 3,261,351,492,425,111,81,D,,D
