Country: USA,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,26.9,12.9,11.3,10.5,5.0,D,D,0.0,0.0
m) ALL,21.5,11.6,10.5,10.0,4.8,2.6,5.6,0.0,0.0
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,
b) 1,41.7,14.3,11.9,9.6,D,D,D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,23.1,10.9,6.5,6.2,D,D,D,D,0.0
m) ALL,22.8,10.8,6.9,6.4,5.7,5.5,2.6,9.4,0.0
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,D
b) 1,33.9,12.8,9.5,D,0.0,D,D,0.0,D
c) 2,30.9,13.6,5.9,D,D,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,21.5,8.9,6.1,3.7,D,D,D,0.0,0.0
m) ALL,21.2,9.4,6.1,3.7,3.6,2.9,6.3,0.0,0.0
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,35.2,13.8,9.8,11.9,0.0,D,D,D,D
c) 2,28.0,16.2,10.9,12.4,D,D,D,D,0.0
d) 3,31.8,14.1,6.0,5.7,17.5,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.4,8.9,6.8,4.1,D,D,0.0,0.0,0.0
m) ALL,21.0,10.3,7.1,5.4,4.8,2.4,0.0,0.0,0.0
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,
b) 1,44.5,19.6,9.8,D,D,0.0,0.0,,
c) 2,38.8,17.9,15.3,11.9,0.0,0.0,D,D,D
d) 3,35.2,15.6,17.6,D,D,0.0,D,D,0.0
e) 4,40.2,20.1,13.2,D,D,0.0,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,24.4,11.6,6.6,4.9,3.1,D,D,0.0,0.0
m) ALL,27.9,13.6,8.9,6.6,3.6,1.2,3.3,0.0,0.0
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,,D,
b) 1,36.4,17.1,6.9,14.3,16.1,0.0,D,D,D
c) 2,30.8,10.6,12.2,D,D,D,0.0,,D
d) 3,30.6,12.4,8.7,6.5,0.0,0.0,D,D,D
e) 4,26.8,10.2,13.9,D,0.0,D,D,D,D
f) 5,25.2,9.0,7.9,D,D,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,20.0,7.3,6.7,4.3,3.8,D,D,0.0,0.0
m) ALL,22.2,9.0,7.6,5.4,5.0,3.6,3.2,0.0,0.0
