Country: USA,,,,,,,,,
Variable: Net_Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,882","5,099","4,514","5,051","2,858","2,186",,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-4,253","-3,028","-3,188","-4,165",-20,-424,"1,863",266,808
m) ALL,"3,629","2,071","1,326",886,"2,838","1,762","1,863",266,808
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,197","3,489","3,474","2,596","1,572",960,D,D,
b) 1,"-1,028",-167,13,-134,-184,"-1,244",D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-2,388","-1,387",-692,-978,"-1,619","2,581",867,-914,433
m) ALL,"2,781","1,935","2,795","1,484",-231,"2,297","2,087",935,433
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,734","4,200","3,568","3,947",842,D,D,,D
b) 1,-702,181,90,736,408,-354,D,"1,022",D
c) 2,-633,-309,-80,12,-485,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-2,017",-969,-967,-63,505,"-1,351",-789,"1,040","6,338"
m) ALL,"3,382","3,103","2,611","4,632","1,270",-678,403,"2,062","6,477"
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,624","3,828","2,794","3,123","2,443","1,437",,,
b) 1,-957,-196,89,-255,574,D,D,D,D
c) 2,-481,-468,-128,-205,-147,260,D,D,"1,047"
d) 3,-671,-518,-266,-414,-406,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-2,115","-1,973","-1,646","-1,265",-481,-224,475,-674,"-4,482"
m) ALL,"2,400",673,843,984,"1,983","1,990",500,-565,"-3,421"
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,096","4,441","3,134","4,879","3,290","1,553",D,D,
b) 1,"-1,203",-347,0,-52,-93,-68,551,,
c) 2,-875,-462,-359,-313,-380,415,D,D,D
d) 3,-715,-406,-504,-348,-423,-276,D,D,-285
e) 4,-778,-735,-640,-335,-116,-167,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-2,692","-1,981","-1,672","-2,592",-938,366,"-1,220",73,769
m) ALL,-167,510,-41,"1,239","1,340","1,823",-296,891,533
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,488","3,923","3,854","4,291","1,733",D,,D,
b) 1,"-1,072",-343,-79,-457,-852,294,D,D,D
c) 2,-552,-451,-395,-290,-119,D,-400,,D
d) 3,-577,-470,-532,-579,39,-324,D,D,D
e) 4,-369,-274,-329,-257,353,54,D,D,D
f) 5,-405,-168,-311,-252,-206,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"-1,642","-1,562","-2,315","-2,335","-2,864","-2,483","-1,143","-1,157",-34
m) ALL,"1,871",655,-107,121,"-1,916",-549,"-1,503",574,"6,664"
,           1983,Estab Size,,,,,,,
