Country: USA,,,,,,,,,
Variable: Reallocation_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,25.2,26.0,25.2,24.4,26.8,19.6,15.6,4.6,2.0
m) ALL,61.4,46.6,41.8,39.6,26.0,21.4,15.6,4.6,2.0
,           1978,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,
b) 1,43.6,49.4,46.8,47.8,42.8,12.2,D,D,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,31.4,30.2,28.2,28.6,20.4,14.0,26.2,10.8,4.0
m) ALL,61.4,42.8,33.2,34.4,30.0,20.4,25.2,20.2,4.0
,           1979,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,D
b) 1,46.4,53.6,46.4,37.0,34.2,37.4,D,2.8,D
c) 2,45.0,43.0,37.2,40.0,27.2,D,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,30.4,29.4,26.2,26.8,20.6,17.6,25.0,2.0,0.6
m) ALL,60.6,40.6,33.4,28.2,24.0,25.2,33.2,2.0,0.6
,           1980,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,35.0,48.4,50.0,47.2,30.6,D,D,D,D
c) 2,38.4,33.4,40.2,36.2,29.2,62.4,D,D,3.8
d) 3,32.0,34.2,29.4,25.4,27.2,D,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,23.8,23.0,22.8,21.8,21.4,17.0,14.6,7.2,7.4
m) ALL,61.8,47.0,37.0,32.2,26.8,20.4,14.2,8.4,13.8
,           1981,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,
b) 1,40.4,51.4,48.6,46.8,34.6,28.4,11.6,,
c) 2,32.0,37.8,41.4,36.6,10.2,10.8,D,D,D
d) 3,28.2,33.2,29.2,21.0,7.2,31.2,D,D,6.6
e) 4,26.0,25.4,26.0,31.6,29.0,5.2,D,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,20.4,23.8,21.6,18.2,17.2,19.4,8.4,7.8,18.8
m) ALL,75.0,52.2,41.0,34.2,26.8,21.8,19.4,10.8,18.4
,           1982,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,,D,
b) 1,36.4,48.0,41.8,37.2,25.4,35.4,D,D,D
c) 2,44.4,32.8,37.4,31.8,45.4,D,14.0,,D
d) 3,34.8,27.4,25.6,22.6,21.2,13.8,D,D,D
e) 4,34.4,31.0,35.4,24.0,28.2,56.6,D,D,D
f) 5,30.8,35.2,27.0,24.8,17.6,D,,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
