Country: USA,,,,,,,,,
Variable: Denom,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,115","2,414","2,436","3,082","1,767","1,884",639,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"17,956","23,369","31,761","46,589","36,698","34,598","16,917","16,308","14,851"
m) ALL,"20,071","25,783","34,197","49,671","38,465","36,482","17,556","16,308","14,851"
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,766","1,573","1,716","1,928","1,033","1,173",145,621,D
b) 1,"4,575","4,685","4,615","5,476","3,223","3,022","1,337",,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"16,060","22,094","28,826","44,388","35,214","33,461","16,705","16,417",D
m) ALL,"22,401","28,352","35,157","51,792","39,470","37,656","18,187","17,038","18,307"
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,830","1,885","1,901","2,456","1,256",605,415,328,D
b) 1,"4,895","3,196","3,344","3,778","1,887","1,936",256,"1,244",D
c) 2,"3,168","4,574","4,732","5,589","3,145","2,433",,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"13,577","22,226","29,081","42,346","35,111","32,993","17,459","19,077","17,582"
m) ALL,"23,470","31,881","39,058","54,169","41,399","37,967","18,130","20,649","21,044"
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,837","1,863","1,732","1,690","1,234","1,582",309,,
b) 1,"3,953","3,722","3,719","4,705","2,112","1,085",814,625,D
c) 2,"2,707","3,130","3,166","4,488","2,137","2,081",223,"2,382",D
d) 3,"2,810","3,772","4,682","5,657","2,842","2,151",,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"11,786","18,831","26,823","40,455","35,479","33,417","15,427","18,448","23,165"
m) ALL,"23,093","31,318","40,122","56,995","43,804","40,316","16,773","21,455","27,803"
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,708","1,658","2,046","2,105","1,897","1,763",560,276,D
b) 1,"3,836","3,413","3,091","3,137","2,589","2,936",496,,
c) 2,"2,830","3,239","3,499","4,305","2,430","1,643",774,619,D
d) 3,"2,110","2,598","2,932","3,860","1,434","1,991",991,"1,282","3,859"
e) 4,"2,170","3,268","4,339","4,864","2,630","1,671",333,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"10,752","16,984","24,777","39,185","33,128","33,889","16,615","14,696","21,351"
m) ALL,"23,406","31,160","40,684","57,456","44,108","43,893","19,769","16,873","27,971"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,806","1,740","1,823","2,544","1,456","1,187",815,,D
b) 1,"3,803","2,989","3,733","4,031","3,499","3,047","1,043","1,137",D
c) 2,"2,632","3,101","3,032","3,386","1,990","2,607",631,313,D
d) 3,"2,160","2,561","3,189","4,366","1,680","1,795",733,660,D
e) 4,"2,083","2,370","2,392","3,529","1,402","1,799",891,"1,552",D
f) 5,"1,855","2,954","3,668","4,426","2,752","1,227",156,,D
g) 6 to 10,,,,,,,,,
