Country: USA,,,,,,,,,
Variable: Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,127","4,711","4,759","5,955","3,534","3,767","1,277",,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"18,219","22,901","30,835","44,287","35,352","33,628","16,450","16,309","14,994"
m) ALL,"22,346","27,612","35,594","50,242","38,886","37,395","17,727","16,309","14,994"
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,502","3,133","3,386","3,856","2,066","2,244",290,"1,242",D
b) 1,"5,061","4,680","4,482","5,050","2,912","2,276","1,396",,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"17,002","22,531","28,611","43,894","34,371","32,365","16,793","16,170",D
m) ALL,"25,565","30,344","36,479","52,800","39,349","36,885","18,479","17,412","18,299"
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,635","3,752","3,790","4,912","2,512","1,210",830,656,D
b) 1,"6,342","3,293","3,320","3,736","1,708","1,627",221,"1,246",D
c) 2,"3,397","4,661","4,470","5,303","2,985","2,091",,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"14,032","24,437","28,972","41,867","35,001","32,167","16,789","19,005","18,044"
m) ALL,"27,406","36,143","40,552","55,818","42,206","37,095","17,840","20,907","21,575"
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,651","3,689","3,450","3,331","2,468","3,164",617,,
b) 1,"4,330","3,742","3,664","4,606","1,711",960,798,594,D
c) 2,"2,797","3,174","2,945","4,390","2,013","1,610",446,"2,911",D
d) 3,"3,044","3,680","4,404","5,408","2,563","1,843",,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"11,902","18,594","26,096","39,428","35,059","32,836","14,836","17,961","20,924"
m) ALL,"25,724","32,879","40,559","57,163","43,814","40,413","16,697","21,466","25,647"
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,395","3,298","4,092","4,209","3,793","3,525","1,120",551,D
b) 1,"4,123","3,202","2,783","2,991","2,709","2,708",375,,
c) 2,"2,912","3,141","3,382","3,908","1,994","1,620",749,643,D
d) 3,"2,061","2,438","2,751","3,440","1,285","1,868",701,"1,152","3,716"
e) 4,"2,164","3,087","3,976","4,512","2,359","1,456",303,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"10,726","16,591","23,908","38,118","32,323","32,728","16,235","14,067","21,735"
m) ALL,"25,381","31,757","40,892","57,178","44,463","43,905","19,483","16,413","28,750"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,594","3,461","3,633","5,047","2,911","2,373","1,629",,D
b) 1,"4,287","2,716","3,402","3,800","3,204","2,569",966,"1,132",D
c) 2,"2,692","3,005","2,852","3,072","1,832","2,298",664,80,D
d) 3,"2,158","2,336","2,988","4,021","1,444","1,581",716,676,D
e) 4,"2,363","2,338","2,216","3,301","1,359","1,775",682,"1,543",D
f) 5,"1,919","2,905","3,508","4,224","2,594","1,119",9,,D
