Country: USA,,,,,,,,,
Variable: Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,027",716,362,200,54,25,3,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"6,798","3,245","2,214","1,443",511,234,47,23,11
m) ALL,"8,825","3,961","2,576","1,643",565,259,50,23,11
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,770",486,249,130,31,13,1,2,1
b) 1,"1,479",610,312,173,50,18,2,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,966","3,035","2,002","1,407",506,225,48,26,13
m) ALL,"9,215","4,131","2,563","1,710",587,256,51,28,14
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,795",573,287,162,39,8,2,1,1
b) 1,"1,360",403,222,116,31,12,1,2,1
c) 2,"1,109",632,333,192,43,19,,,1
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,118","2,855","2,056","1,349",513,222,52,28,13
m) ALL,"9,382","4,463","2,898","1,819",626,261,55,31,16
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,832",563,258,115,37,22,2,,
b) 1,"1,349",499,247,142,35,8,2,1,1
c) 2,"1,032",429,227,134,31,10,1,3,2
d) 3,935,531,343,190,42,14,,,1
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,531","2,761","1,939","1,319",519,228,47,29,17
m) ALL,"9,679","4,783","3,014","1,900",664,282,52,33,21
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,694",510,313,140,55,25,3,1,1
b) 1,"1,289",455,206,102,32,21,2,,
c) 2,"1,023",429,238,141,37,11,2,1,1
d) 3,804,370,211,121,22,14,4,2,3
e) 4,764,453,306,152,39,13,1,,1
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,119","2,442","1,783","1,257",478,230,46,22,15
m) ALL,"9,693","4,659","3,057","1,913",663,314,58,26,21
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,813",535,274,172,43,15,5,,1
b) 1,"1,244",433,272,127,49,21,3,2,1
c) 2,"1,013",447,223,106,29,19,2,1,1
d) 3,844,381,235,144,26,12,2,1,1
e) 4,692,335,183,119,23,13,2,2,2
f) 5,674,423,276,144,39,8,1,,1
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,777","2,210","1,700","1,205",457,229,47,23,12
m) ALL,"10,057","4,764","3,163","2,017",666,317,62,29,19
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,696",495,205,105,38,14,4,1,
b) 1,"1,429",465,236,147,38,11,4,,1
c) 2,"1,001",418,267,128,45,22,3,1,1
d) 3,908,379,170,111,22,15,2,,1
