Country: USA,,,,,,,,,
Variable: Estabs_Entry,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,977",699,354,193,54,25,3,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0,0,0,0,0,0,0,0,0
m) ALL,"1,977",699,354,193,54,25,3,0,0
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,750",484,246,130,31,12,1,2,1
b) 1,0,0,0,0,0,0,0,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,119,32,10,8,5,0,0,1,0
m) ALL,"1,869",516,256,138,36,12,1,3,1
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,784",570,286,162,39,8,2,1,0
b) 1,1,0,0,0,0,0,0,0,0
c) 2,57,21,5,7,0,1,,,0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,127,38,31,11,4,1,0,1,0
m) ALL,"1,969",629,322,180,43,10,2,2,0
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,818",558,257,114,37,22,2,,
b) 1,0,0,0,1,1,0,0,0,0
c) 2,40,13,2,2,0,0,1,0,0
d) 3,33,11,7,1,1,0,,,0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,117,41,30,17,5,1,0,0,0
m) ALL,"2,008",623,296,135,44,23,3,0,0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,679",507,313,140,55,25,3,1,1
b) 1,0,0,0,0,0,0,0,,
c) 2,38,5,1,4,0,0,0,0,0
d) 3,22,5,5,2,0,0,0,0,0
e) 4,23,7,2,1,1,0,0,,0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,76,40,28,12,1,1,0,0,0
m) ALL,"1,838",564,349,159,57,26,3,1,1
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,802",532,273,171,43,15,5,,1
b) 1,0,0,1,0,0,0,0,0,0
c) 2,57,23,5,1,0,0,0,0,1
d) 3,43,8,4,2,0,0,0,0,0
e) 4,28,9,7,5,0,1,0,0,0
f) 5,25,10,8,4,0,0,0,,0
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,106,42,31,23,6,4,0,0,0
m) ALL,"2,061",624,329,206,49,20,5,0,2
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,660",490,204,104,38,13,4,1,
b) 1,1,0,0,1,0,0,0,,0
c) 2,42,18,4,10,2,0,0,0,0
d) 3,30,6,3,0,0,0,0,,0
e) 4,21,2,1,0,0,0,0,0,0
f) 5,14,1,5,0,1,0,0,0,0
g) 6 to 10,12,0,4,0,0,0,,,0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
