Country: USA,,,,,,,,,
Variable: Estabs_Entry_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,195.1,195.3,195.6,193.0,200.0,200.0,200.0,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m) ALL,23.2,18.4,14.1,11.9,9.5,9.8,6.0,0.0,0.0
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.7,199.2,197.6,200.0,200.0,184.6,200.0,200.0,200.0
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.9,1.0,0.5,0.6,1.0,0.0,0.0,3.8,0.0
m) ALL,20.8,12.7,10.1,8.1,6.2,4.6,2.0,11.1,7.1
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.8,199.0,199.3,200.0,200.0,200.0,200.0,200.0,0.0
b) 1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c) 2,4.7,3.2,1.4,3.6,0.0,5.0,,,0.0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.3,1.3,1.5,0.8,0.8,0.4,0.0,3.5,0.0
m) ALL,21.6,14.5,11.3,10.1,7.0,3.8,3.6,6.5,0.0
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.5,198.2,199.2,198.3,200.0,200.0,200.0,,
b) 1,0.0,0.0,0.0,0.7,2.7,0.0,0.0,0.0,0.0
c) 2,3.6,2.9,0.8,1.4,0.0,0.0,200.0,0.0,0.0
d) 3,3.2,2.0,1.9,0.5,2.3,0.0,,,0.0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.4,1.5,1.5,1.3,1.0,0.4,0.0,0.0,0.0
m) ALL,21.3,13.4,9.9,7.1,6.7,8.2,5.9,0.0,0.0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.2,198.8,200.0,200.0,200.0,200.0,200.0,200.0,200.0
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
c) 2,3.3,1.1,0.4,2.7,0.0,0.0,0.0,0.0,0.0
d) 3,2.4,1.3,2.2,1.5,0.0,0.0,0.0,0.0,0.0
e) 4,2.7,1.4,0.6,0.6,2.4,0.0,0.0,,0.0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.7,1.6,1.5,0.9,0.2,0.4,0.0,0.0,0.0
m) ALL,18.9,12.1,11.5,8.3,8.7,8.5,5.3,3.8,4.9
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.8,198.9,199.3,198.8,200.0,200.0,200.0,,200.0
b) 1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
c) 2,5.1,4.9,2.2,0.9,0.0,0.0,0.0,0.0,200.0
d) 3,4.7,2.0,1.6,1.3,0.0,0.0,0.0,0.0,0.0
e) 4,3.7,2.6,3.7,4.1,0.0,8.0,0.0,0.0,0.0
