Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.9,10.5,9.2,10.4,9.8,6.2,6.2,4.3,0.0
m) ALL,15.7,9.5,8.6,9.8,9.4,5.9,6.0,4.3,0.0
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b) 1,30.2,15.4,14.5,13.4,7.7,32.6,40.0,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.1,8.8,7.9,6.1,5.2,6.5,0.0,3.8,7.4
m) ALL,15.9,9.3,8.4,6.7,5.3,8.4,2.0,3.7,7.1
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b) 1,24.0,17.3,11.0,10.6,0.0,8.0,0.0,0.0,0.0
c) 2,20.3,11.1,11.6,6.2,11.0,15.0,,,0.0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,13.4,7.4,6.2,5.4,2.7,4.0,3.8,7.0,0.0
m) ALL,14.8,8.5,7.0,5.6,3.1,5.0,3.6,6.5,0.0
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,26.0,12.3,14.6,11.9,13.5,0.0,0.0,0.0,0.0
c) 2,18.6,11.8,13.6,14.6,9.1,40.0,0.0,0.0,0.0
d) 3,19.4,11.5,11.1,5.1,11.4,25.0,,,0.0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.8,5.7,6.2,5.3,3.2,3.9,2.1,0.0,0.0
m) ALL,15.2,7.4,7.9,6.4,4.6,6.4,2.0,0.0,0.0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b) 1,31.2,19.3,20.8,11.1,14.5,4.7,0.0,,
c) 2,23.9,17.5,14.8,15.3,17.1,0.0,0.0,0.0,0.0
d) 3,22.5,15.8,13.8,17.4,16.7,13.3,0.0,0.0,0.0
e) 4,21.6,16.3,15.2,14.1,14.5,7.4,0.0,,0.0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.3,9.2,7.3,5.8,3.9,3.4,2.2,4.3,0.0
m) ALL,18.3,11.9,9.9,8.2,6.3,3.9,1.8,3.8,0.0
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
b) 1,26.9,15.0,13.7,10.4,11.5,17.4,0.0,0.0,0.0
c) 2,21.4,13.1,8.7,15.7,9.8,5.1,0.0,0.0,0.0
d) 3,19.3,14.0,9.8,8.0,10.9,0.0,0.0,0.0,0.0
e) 4,18.8,11.1,8.5,10.6,0.0,0.0,40.0,0.0,0.0
