Country: USA,,,,,,,,,
Variable: Firms,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,858",595,314,172,50,18,2,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"6,377","2,927","1,933","1,177",402,178,37,20,11
m) ALL,"8,235","3,522","2,247","1,349",452,196,39,20,11
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,701",465,241,117,28,13,1,2,1
b) 1,"1,337",505,270,146,46,18,2,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,593","2,737","1,757","1,158",385,173,37,25,13
m) ALL,"8,631","3,707","2,268","1,421",459,204,40,27,14
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,726",526,263,144,37,8,2,1,1
b) 1,"1,298",388,218,104,28,12,1,2,1
c) 2,"1,012",513,291,177,38,19,,,1
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,811","2,559","1,822","1,121",409,168,41,27,13
m) ALL,"8,847","3,986","2,594","1,546",512,207,44,30,16
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,792",520,248,111,34,21,2,,
b) 1,"1,289",454,224,124,33,8,2,1,1
c) 2,990,404,224,120,31,10,1,3,2
d) 3,835,459,302,175,39,14,,,1
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,260","2,446","1,703","1,097",424,177,36,28,16
m) ALL,"9,166","4,283","2,701","1,627",561,230,41,32,20
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,684",488,288,135,50,23,3,1,1
b) 1,"1,258",413,197,99,29,20,2,,
c) 2,971,392,223,127,35,11,2,1,1
d) 3,773,353,207,108,19,14,4,2,3
e) 4,693,403,262,140,37,12,1,,1
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,889","2,195","1,580","1,030",371,180,36,20,15
m) ALL,"9,268","4,244","2,757","1,639",541,260,48,24,21
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,704",486,247,148,43,12,5,,1
b) 1,"1,229",410,248,119,44,20,3,2,1
c) 2,993,408,216,102,27,18,2,1,1
d) 3,800,348,219,123,26,12,2,1,1
e) 4,664,319,179,107,21,13,2,2,2
f) 5,605,368,239,128,37,8,1,,1
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,578","2,004","1,490","1,002",354,179,37,20,12
m) ALL,"9,573","4,343","2,838","1,729",552,262,52,26,19
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"1,650",459,199,98,35,13,4,1,
b) 1,"1,335",424,211,127,38,10,4,,1
c) 2,983,396,245,119,40,21,3,1,1
d) 3,880,361,164,107,20,14,2,,1
e) 4,751,324,174,105,21,7,2,1,1
