Country: USA,,,,,,,,,
Variable: Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,025","4,595","4,646","5,746","3,534","3,767","1,277",,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,407","3,920","4,509","5,168","4,196","3,261","1,235",840,457
m) ALL,"8,432","8,515","9,155","10,914","7,730","7,028","2,512",840,457
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,472","3,121","3,340","3,856","2,066","2,143",290,"1,242",D
b) 1,"2,124","1,183",960,769,350,152,618,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"4,600","4,519","4,426","6,028","3,759","3,123",972,"1,350",D
m) ALL,"10,196","8,823","8,726","10,653","6,175","5,418","1,880","2,592","1,997"
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,611","3,735","3,778","4,912","2,512","1,210",830,656,D
b) 1,"3,784","1,092",774,896,253,166,0,29,D
c) 2,"1,190","1,236",664,714,368,247,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,244","7,666","4,216","5,126","3,673","2,813","1,125","2,385",993
m) ALL,"11,829","13,729","9,432","11,648","6,806","4,436","1,955","3,070","1,132"
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,629","3,652","3,437","3,282","2,468","3,164",617,,
b) 1,"1,763","1,005",945,972,171,45,0,0,D
c) 2,809,794,451,"1,005",248,76,446,"1,059",D
d) 3,"1,077",698,661,587,248,81,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,415","2,606","3,065","3,857","3,625","3,286",531,618,864
m) ALL,"9,693","8,755","8,559","9,703","6,760","6,652","1,594","1,677","1,103"
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,374","3,280","4,092","4,209","3,793","3,525","1,120",551,D
b) 1,"1,744",744,520,460,916,199,0,,
c) 2,919,745,745,595,102,165,21,49,D
d) 3,491,401,460,276,152,201,0,79,129
e) 4,521,501,569,620,223,38,0,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,044","2,506","2,616","3,892","2,613","2,460",848,272,"2,771"
m) ALL,"9,093","8,177","9,002","10,052","7,799","6,588","1,989",951,"4,076"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,576","3,443","3,620","5,006","2,911","2,373","1,629",,D
b) 1,"1,986",496,468,649,303,360,112,9,D
c) 2,831,674,522,527,163,95,66,0,D
d) 3,543,292,453,461,126,94,0,33,D
e) 4,958,494,268,605,179,256,27,25,D
f) 5,478,518,515,473,207,78,0,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,774","2,116","2,694","3,442","1,871","2,335",297,601,301
m) ALL,"10,146","8,033","8,540","11,163","5,760","5,591","2,131",668,"8,724"
,           1983,Initial Size,,,,,,,
