Country: USA,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,025","4,595","4,646","5,746","3,534","3,767","1,277",,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0,0,0,0,0,0,0,0,0
m) ALL,"4,025","4,595","4,646","5,746","3,534","3,767","1,277",0,0
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,472","3,121","3,340","3,856","2,066","2,143",290,"1,242",D
b) 1,0,0,0,0,0,0,0,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,211,211,139,288,304,0,0,525,0
m) ALL,"3,683","3,332","3,479","4,144","2,370","2,143",290,"1,767","1,231"
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,611","3,735","3,778","4,912","2,512","1,210",830,656,0
b) 1,D,0,0,0,0,0,0,0,0
c) 2,D,149,66,177,0,142,,,0
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,260,249,412,387,301,164,0,540,0
m) ALL,"3,987","4,133","4,256","5,476","2,813","1,516",830,"1,196",0
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,629","3,652","3,437","3,282","2,468","3,164",617,,
b) 1,0,0,0,24,50,0,0,0,0
c) 2,82,81,23,56,0,0,446,0,0
d) 3,58,64,102,22,76,0,,,0
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,233,258,397,474,385,129,0,0,0
m) ALL,"4,002","4,055","3,959","3,858","2,979","3,293","1,063",0,0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,374","3,280","4,092","4,209","3,793","3,525","1,120",551,D
b) 1,0,0,0,0,0,0,0,,
c) 2,69,28,14,137,0,0,0,0,0
d) 3,33,31,72,46,0,0,0,0,0
e) 4,38,49,26,34,86,0,0,,0
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,144,256,387,371,50,143,0,0,0
m) ALL,"3,658","3,644","4,591","4,797","3,929","3,668","1,120",551,"1,028"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,576","3,443","3,620","5,006","2,911","2,373","1,629",,D
b) 1,0,0,16,0,0,0,0,0,0
c) 2,122,148,58,30,0,0,0,0,D
d) 3,91,51,56,73,0,0,0,0,0
e) 4,62,53,91,142,0,117,0,0,0
f) 5,45,65,110,88,0,0,0,,0
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,222,278,401,706,376,544,0,0,0
m) ALL,"4,118","4,038","4,352","6,045","3,287","3,034","1,629",0,"7,449"
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"3,141","2,744","3,107","2,592","2,062","1,514",691,
b) 1,D,0,0,40,0,0,0,,0
