Country: USA,,,,,,,,,
Variable: Job_Creation_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,190.3,190.3,190.7,186.4,200.0,199.9,199.8,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,24.5,16.8,14.2,11.1,11.4,9.4,7.3,5.2,3.1
m) ALL,42.0,33.0,26.8,22.0,20.1,19.3,14.3,5.2,3.1
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.6,198.4,194.6,200.0,200.0,182.7,200.0,200.0,D
b) 1,46.4,25.3,20.8,14.0,10.9,5.0,46.2,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,28.6,20.5,15.4,13.6,10.7,9.3,5.8,8.2,D
m) ALL,45.5,31.1,24.8,20.6,15.6,14.4,10.3,15.2,10.9
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.3,198.1,198.7,200.0,200.0,200.0,200.0,200.0,D
b) 1,77.3,34.2,23.1,23.7,13.4,8.6,0.0,2.3,D
c) 2,37.6,27.0,14.0,12.8,11.7,10.2,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,23.9,34.5,14.5,12.1,10.5,8.5,6.4,12.5,5.6
m) ALL,50.4,43.1,24.1,21.5,16.4,11.7,10.8,14.9,5.4
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.6,196.0,198.4,194.2,200.0,200.0,199.7,,
b) 1,44.6,27.0,25.4,20.7,8.1,4.1,0.0,0.0,D
c) 2,29.9,25.4,14.2,22.4,11.6,3.7,200.0,44.5,D
d) 3,38.3,18.5,14.1,10.4,8.7,3.8,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,20.5,13.8,11.4,9.5,10.2,9.8,3.4,3.3,3.7
m) ALL,42.0,28.0,21.3,17.0,15.4,16.5,9.5,7.8,4.0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.5,197.8,200.0,200.0,199.9,199.9,200.0,199.6,D
b) 1,45.5,21.8,16.8,14.7,35.4,6.8,0.0,,
c) 2,32.5,23.0,21.3,13.8,4.2,10.0,2.7,7.9,D
d) 3,23.3,15.4,15.7,7.2,10.6,10.1,0.0,6.2,3.3
e) 4,24.0,15.3,13.1,12.7,8.5,2.3,0.0,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,19.0,14.8,10.6,9.9,7.9,7.3,5.1,1.9,13.0
m) ALL,38.8,26.2,22.1,17.5,17.7,15.0,10.1,5.6,14.6
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.0,197.9,198.6,196.8,199.9,199.9,199.9,,D
b) 1,52.2,16.6,12.5,16.1,8.7,11.8,10.7,0.8,D
c) 2,31.6,21.7,17.2,15.6,8.2,3.6,10.5,0.0,D
d) 3,25.1,11.4,14.2,10.6,7.5,5.2,0.0,5.0,D
e) 4,46.0,20.8,11.2,17.1,12.8,14.2,3.0,1.6,D
f) 5,25.8,17.5,14.0,10.7,7.5,6.4,0.0,,D
