Country: USA,,,,,,,,,
Variable: Job_Creation_Rate_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,190.3,190.3,190.7,186.4,200.0,199.9,199.8,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m) ALL,20.1,17.8,13.6,11.6,9.2,10.3,7.3,0.0,0.0
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.6,198.4,194.6,200.0,200.0,182.7,200.0,200.0,D
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.3,1.0,0.5,0.6,0.9,0.0,0.0,3.2,D
m) ALL,16.4,11.8,9.9,8.0,6.0,5.7,1.6,10.4,6.7
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.3,198.1,198.7,200.0,200.0,200.0,200.0,200.0,D
b) 1,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
c) 2,D,3.3,1.4,3.2,0.0,5.8,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.9,1.1,1.4,0.9,0.9,0.5,0.0,2.8,0.0
m) ALL,17.0,13.0,10.9,10.1,6.8,4.0,4.6,5.8,0.0
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.6,196.0,198.4,194.2,200.0,200.0,199.7,,
b) 1,0.0,0.0,0.0,0.5,2.4,0.0,0.0,0.0,D
c) 2,3.0,2.6,0.7,1.2,0.0,0.0,200.0,0.0,D
d) 3,2.1,1.7,2.2,0.4,2.7,0.0,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.0,1.4,1.5,1.2,1.1,0.4,0.0,0.0,0.0
m) ALL,17.3,12.9,9.9,6.8,6.8,8.2,6.3,0.0,0.0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.5,197.8,200.0,200.0,199.9,199.9,200.0,199.6,D
b) 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
c) 2,2.4,0.9,0.4,3.2,0.0,0.0,0.0,0.0,D
d) 3,1.6,1.2,2.5,1.2,0.0,0.0,0.0,0.0,0.0
e) 4,1.8,1.5,0.6,0.7,3.3,0.0,0.0,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.3,1.5,1.6,0.9,0.2,0.4,0.0,0.0,0.0
m) ALL,15.6,11.7,11.3,8.3,8.9,8.4,5.7,3.3,3.7
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.0,197.9,198.6,196.8,199.9,199.9,199.9,,D
b) 1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,D
c) 2,4.6,4.8,1.9,0.9,0.0,0.0,0.0,0.0,D
d) 3,4.2,2.0,1.8,1.7,0.0,0.0,0.0,0.0,D
e) 4,3.0,2.2,3.8,4.0,0.0,6.5,0.0,0.0,D
f) 5,2.4,2.2,3.0,2.0,0.0,0.0,0.0,,D
