Country: USA,,,,,,,,,
Variable: Job_Destruction,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"3,880","4,855","6,361","9,772","6,888","5,200","2,169",838,171
m) ALL,"3,880","4,855","6,361","9,772","6,888","5,200","2,169",838,171
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,"1,152","1,192","1,225","1,621",972,"1,643",499,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,716","3,644","4,855","7,015","5,445","5,315",795,"1,843",D
m) ALL,"3,868","4,836","6,080","8,636","6,417","6,958","1,294","1,843","2,012"
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,890,897,822,980,611,783,69,25,D
c) 2,731,"1,062","1,187","1,285",687,930,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,333","3,244","4,434","6,083","3,893","4,464","2,465","2,529",69
m) ALL,"3,954","5,203","6,443","8,348","5,191","6,177","2,534","2,554",69
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,"1,009",964,"1,055","1,169",972,295,32,62,D
c) 2,629,705,892,"1,201",496,"1,018",0,0,D
d) 3,609,881,"1,216","1,085",805,696,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,183","3,079","4,518","5,911","4,465","4,447","1,712","1,591","5,346"
m) ALL,"4,430","5,629","7,681","9,366","6,738","6,456","1,744","1,653","5,412"
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,"1,169","1,166","1,136",752,675,655,242,,
c) 2,754,940,979,"1,388",974,210,70,0,D
d) 3,588,721,822,"1,116",449,447,579,338,414
e) 4,533,862,"1,294","1,323",764,467,60,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"2,095","3,292","4,354","6,026","4,222","4,782","1,607","1,529","2,002"
m) ALL,"5,139","6,981","8,585","10,605","7,084","6,561","2,558","1,867","2,515"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,D
b) 1,"1,017","1,041","1,129","1,110",892,"1,316",266,18,D
c) 2,710,865,882,"1,154",479,712,0,466,D
d) 3,547,741,854,"1,151",598,521,33,0,D
e) 4,398,558,619,"1,061",264,303,445,43,D
f) 5,350,616,834,877,522,294,294,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,678","2,837","3,759","5,990","4,937","5,601","3,480","1,732",952
m) ALL,"4,700","6,658","8,077","11,343","7,692","8,747","4,518","2,259",952
,           1983,Initial Size,,,,,,,
