Country: USA,,,,,,,,,
Variable: Job_Destruction_Continuers,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,389","2,478","3,465","4,935","3,348","3,233",966,338,171
m) ALL,"1,389","2,478","3,465","4,935","3,348","3,233",966,338,171
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,232,513,566,847,641,361,22,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,946,"1,879","2,696","4,297","3,583","2,761",795,"1,334",D
m) ALL,"1,178","2,392","3,262","5,144","4,224","3,122",817,"1,334",333
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,230,401,477,602,611,557,69,25,D
c) 2,242,597,662,901,347,556,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,882,"1,797","2,711","3,829","3,000","3,328","1,888","1,378",69
m) ALL,"1,354","2,795","3,850","5,332","3,958","4,441","1,957","1,403",69
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,282,538,527,610,630,295,32,62,D
c) 2,194,359,468,539,295,105,0,0,D
d) 3,185,483,695,816,485,136,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,895,"2,035","2,827","3,765","3,277","3,117","1,438","1,591","5,346"
m) ALL,"1,556","3,415","4,517","5,730","4,687","3,653","1,470","1,653","5,412"
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,249,531,492,406,302,521,242,,
c) 2,210,410,480,695,535,210,70,0,D
d) 3,205,329,409,482,240,166,579,338,414
e) 4,145,344,611,614,369,354,60,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,830,"1,743","2,610","3,828","2,865","3,571","1,304",901,"2,002"
m) ALL,"1,639","3,357","4,602","6,025","4,311","4,822","2,255","1,239","2,515"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,D
b) 1,303,585,602,657,537,706,266,18,D
c) 2,248,473,632,601,293,564,0,466,D
d) 3,202,384,551,795,394,521,33,0,D
e) 4,139,302,412,653,264,303,66,43,D
f) 5,134,336,592,484,343,72,294,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,716,"1,767","2,591","4,012","3,919","4,404","2,302","1,167",952
m) ALL,"1,742","3,847","5,380","7,202","5,750","6,570","2,961","1,694",952
,           1983,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,
b) 1,238,387,555,583,338,529,253,,D
