Country: USA,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,13.9,10.2,9.1,10.4,9.6,5.7,7.1,3.1,0.0
m) ALL,12.4,9.2,8.5,9.7,9.2,5.4,6.9,3.1,0.0
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
b) 1,20.1,14.5,14.3,14.1,10.3,42.4,35.7,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,11.0,8.0,7.5,6.1,5.3,7.6,0.0,3.1,D
m) ALL,12.0,8.6,8.0,6.7,5.6,10.2,2.6,3.0,9.2
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
b) 1,13.5,15.5,10.3,10.0,0.0,11.7,0.0,0.0,D
c) 2,15.4,10.2,11.1,6.9,10.8,15.4,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,10.7,6.5,5.9,5.3,2.5,3.4,3.3,6.0,0.0
m) ALL,11.1,7.6,6.6,5.6,3.0,4.6,3.2,5.6,0.0
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,18.4,11.4,14.2,11.9,16.2,0.0,0.0,0.0,D
c) 2,16.1,11.1,13.4,14.8,9.4,43.9,0.0,0.0,D
d) 3,15.1,10.6,11.1,4.8,11.3,26.0,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,10.9,5.5,6.3,5.3,3.3,4.0,1.8,0.0,0.0
m) ALL,12.4,7.1,7.9,6.4,4.7,7.0,1.6,0.0,0.0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
b) 1,24.0,18.6,20.8,11.0,14.4,4.6,0.0,,
c) 2,19.2,16.4,14.3,16.1,18.1,0.0,0.0,0.0,D
d) 3,18.2,15.1,14.1,16.4,14.6,14.1,0.0,0.0,0.0
e) 4,17.9,15.9,15.7,14.6,15.0,6.8,0.0,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,11.8,9.1,7.0,5.6,4.1,3.6,1.8,4.3,0.0
m) ALL,15.0,11.6,9.8,8.0,6.3,4.0,1.5,3.7,0.0
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,D
b) 1,18.8,15.3,14.1,11.2,10.1,20.0,0.0,0.0,D
c) 2,17.6,12.6,8.2,16.3,9.3,5.7,0.0,0.0,D
d) 3,16.0,13.9,9.5,8.2,12.1,0.0,0.0,0.0,D
e) 4,12.4,10.8,8.7,11.6,0.0,0.0,42.5,0.0,D
f) 5,11.6,9.5,6.6,8.9,6.5,18.1,0.0,,D
