Country: USA,,,,,,,,,
Variable: Net_Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,025","4,595","4,646","5,746","3,534","3,767","1,277",,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,527,-935,"-1,852","-4,604","-2,692","-1,939",-934,2,286
m) ALL,"4,552","3,660","2,794","1,142",842,"1,828",343,2,286
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,472","3,121","3,340","3,856","2,066","2,143",290,"1,242",D
b) 1,972,-9,-265,-852,-622,"-1,491",119,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,884",875,-429,-987,"-1,686","-2,192",177,-493,D
m) ALL,"6,328","3,987","2,646","2,017",-242,"-1,540",586,749,-15
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,611","3,735","3,778","4,912","2,512","1,210",830,656,D
b) 1,"2,894",195,-48,-84,-358,-617,-69,4,D
c) 2,459,174,-523,-571,-319,-683,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,911,"4,422",-218,-957,-220,"-1,651","-1,340",-144,924
m) ALL,"7,875","8,526","2,989","3,300","1,615","-1,741",-579,516,"1,063"
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,629","3,652","3,437","3,282","2,468","3,164",617,,
b) 1,754,41,-110,-197,-801,-250,-32,-62,D
c) 2,180,89,-441,-196,-248,-942,446,"1,059",D
d) 3,468,-183,-555,-498,-557,-615,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,232,-473,"-1,453","-2,054",-840,"-1,161","-1,181",-973,"-4,482"
m) ALL,"5,263","3,126",878,337,22,196,-150,24,"-4,309"
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,374","3,280","4,092","4,209","3,793","3,525","1,120",551,D
b) 1,575,-422,-616,-292,241,-456,-242,,
c) 2,165,-195,-234,-793,-872,-45,-49,49,D
d) 3,-97,-320,-362,-840,-297,-246,-579,-259,-285
e) 4,-12,-361,-725,-703,-541,-429,-60,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,-51,-786,"-1,738","-2,134","-1,609","-2,322",-759,"-1,257",769
m) ALL,"3,954","1,196",417,-553,715,27,-569,-916,"1,561"
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,576","3,443","3,620","5,006","2,911","2,373","1,629",,D
b) 1,969,-545,-661,-461,-589,-956,-154,-9,D
c) 2,121,-191,-360,-627,-316,-617,66,-466,D
d) 3,-4,-449,-401,-690,-472,-427,-33,33,D
e) 4,560,-64,-351,-456,-85,-47,-418,-18,D
f) 5,128,-98,-319,-404,-315,-216,-294,,D
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,96,-721,"-1,065","-2,548","-3,066","-3,266","-3,183","-1,131",-651
