Country: USA,,,,,,,,,
Variable: Net_Job_Creation_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,190.3,190.3,190.7,186.4,200.0,199.9,199.8,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.9,-4.0,-5.8,-9.9,-7.4,-5.6,-5.5,0.1,1.9
m) ALL,22.7,14.2,8.2,2.3,2.2,5.0,1.9,0.1,1.9
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,196.6,198.4,194.6,200.0,200.0,182.7,200.0,200.0,D
b) 1,21.2,-0.1,-5.7,-15.6,-19.3,-49.4,8.9,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,11.7,4.0,-1.4,-2.2,-4.8,-6.6,1.0,-3.0,D
m) ALL,28.2,14.0,7.5,3.9,-0.7,-4.1,3.2,4.4,-0.1
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.3,198.1,198.7,200.0,200.0,200.0,200.0,200.0,D
b) 1,59.1,6.1,-1.5,-2.2,-19.0,-31.8,-27.0,0.3,D
c) 2,14.5,3.8,-11.1,-10.2,-10.1,-28.0,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,6.7,19.9,-0.7,-2.3,-0.6,-5.0,-7.7,-0.8,5.2
m) ALL,33.6,26.8,7.6,6.1,3.9,-4.6,-3.2,2.5,5.1
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.6,196.0,198.4,194.2,200.0,200.0,199.7,,
b) 1,19.1,1.1,-3.0,-4.1,-37.9,-23.1,-3.9,-9.9,D
c) 2,6.7,2.9,-14.0,-4.4,-11.6,-45.2,200.0,44.5,D
d) 3,16.6,-4.9,-11.9,-8.8,-19.6,-28.6,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,2.0,-2.6,-5.4,-5.1,-2.4,-3.5,-7.7,-5.3,-19.4
m) ALL,22.8,10.0,2.2,0.6,0.0,0.5,-0.9,0.1,-15.5
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.5,197.8,200.0,200.0,199.9,199.9,200.0,199.6,D
b) 1,15.0,-12.4,-20.0,-9.3,9.3,-15.5,-48.8,,
c) 2,5.9,-6.0,-6.7,-18.4,-35.9,-2.8,-6.3,7.9,D
d) 3,-4.6,-12.4,-12.3,-21.7,-20.7,-12.4,-58.4,-20.2,-7.4
e) 4,-0.6,-11.1,-16.7,-14.5,-20.5,-25.6,-18.0,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,-0.5,-4.6,-7.0,-5.5,-4.8,-6.8,-4.6,-8.5,3.6
m) ALL,16.8,3.8,1.0,-1.0,1.6,0.1,-2.8,-5.5,5.6
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,198.0,197.9,198.6,196.8,199.9,199.9,199.9,,D
b) 1,25.5,-18.2,-17.7,-11.4,-16.8,-31.4,-14.8,-0.8,D
c) 2,4.6,-6.2,-11.9,-18.5,-15.9,-23.7,10.5,-148.9,D
