Country: USA,,,,,,,,,
Variable: Reallocation_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1977,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,,,,,,,,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,43.2,33.6,28.4,22.2,22.8,18.8,14.6,10.2,2.4
m) ALL,38.6,37.6,37.2,39.4,35.8,28.6,24.8,10.2,2.4
,           1978,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
b) 1,50.4,50.6,41.6,28.0,21.8,10.0,74.6,,
c) 2,,,,,,,,,
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,33.8,33.0,30.8,27.2,21.4,18.6,9.6,16.4,D
m) ALL,34.6,34.2,34.6,33.4,31.2,28.8,14.2,21.6,21.8
,           1979,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
b) 1,36.4,56.2,46.2,47.4,26.8,17.2,0.0,4.0,D
c) 2,46.2,46.4,28.0,25.6,23.4,20.4,,,D
d) 3,,,,,,,,,
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,34.4,29.2,29.0,24.2,21.0,17.0,12.8,25.0,0.8
m) ALL,33.6,32.6,33.0,30.8,25.0,23.4,21.6,24.8,0.6
,           1980,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,51.0,51.8,50.8,41.4,16.2,8.2,0.0,0.0,D
c) 2,46.4,45.0,28.4,44.8,23.2,7.4,0.0,0.0,D
d) 3,43.4,37.0,28.2,20.8,17.4,7.6,,,D
e) 4,,,,,,,,,
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,37.0,27.6,22.8,19.0,20.4,19.6,6.8,6.6,7.4
m) ALL,38.4,36.0,38.2,32.8,30.8,32.0,19.0,15.4,8.0
,           1981,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
b) 1,61.0,43.6,33.6,29.4,52.2,13.6,0.0,,
c) 2,53.2,46.0,42.6,27.6,8.4,20.0,5.4,0.0,D
d) 3,46.6,30.8,31.4,14.4,21.2,20.2,0.0,12.4,6.6
e) 4,48.0,30.6,26.2,25.4,17.0,4.6,0.0,,D
f) 5,,,,,,,,,
g) 6 to 10,,,,,,,,,
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,38.0,29.6,21.2,19.8,15.8,14.6,10.2,3.8,18.8
m) ALL,44.0,44.8,42.2,35.0,32.2,29.8,20.2,11.2,18.0
,           1982,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,D
b) 1,53.4,33.2,25.0,32.2,17.4,23.6,21.4,1.6,D
c) 2,54.0,43.4,34.4,31.2,16.4,7.2,0.0,0.0,D
d) 3,50.2,22.8,28.4,21.2,15.0,10.4,0.0,0.0,D
e) 4,38.2,41.6,22.4,34.2,25.6,28.4,6.0,3.2,D
f) 5,37.8,35.0,28.0,21.4,15.0,12.8,0.0,,D
