Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,761","2,062","19,395","9,766","2,028",196.7,0,0.0,"19,259","19,259",0,197.2,197.2,0,0,0,0.0,0.0,"19,259",197.2,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"4,856","5,663","87,778","98,372",0,0.0,"1,564",24.1,"18,293",0,"18,293",0.0,18.6,"39,481","13,504","25,977",13.7,40.1,"-21,188",-21.5,37.2,"1,035","1,039","6,757"
m. ALL,"6,617","7,725","107,173","108,138","2,028",27.0,"1,564",20.8,"37,552","19,259","18,293",17.8,34.7,"39,481","13,504","25,977",12.5,36.5,"-1,929",-1.8,69.4,"1,035","1,039","6,757"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,563","1,662","11,898","5,966","1,647",198.2,0,0.0,"11,865","11,865",0,198.9,198.9,0,0,0,0.0,0.0,"11,865",198.9,0.0,,,
b) 1,"1,261","1,488","20,807","20,087",0,0.0,565,31.8,"8,592",0,"8,592",0.0,42.8,"7,151","4,473","2,678",22.3,35.6,"1,441",7.2,71.2,324,324,"1,677"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"4,155","4,856","77,501","82,555",148,2.8,919,17.5,"15,500","1,163","14,337",1.4,18.8,"25,607","10,609","14,998",12.9,31.0,"-10,107",-12.2,37.6,514,518,"5,310"
m. ALL,"6,979","8,006","110,206","108,608","1,795",22.8,"1,484",18.9,"35,957","13,028","22,929",12.0,33.1,"32,758","15,082","17,676",13.9,30.2,"3,199",2.9,60.4,838,842,"6,987"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,477","1,546","10,029","5,020","1,540",199.2,0,0.0,"10,018",D,D,D,199.6,0,0,0,0.0,0.0,"10,018",199.6,0.0,,,
b) 1,"1,038","1,123","10,677","11,219",1,0.1,487,35.0,"2,765",D,D,D,24.6,"3,849","2,113","1,736",18.8,34.3,"-1,084",-9.7,49.2,357,357,"1,643"
c) 2,"1,072","1,255","15,762","18,260",74,5.4,289,21.1,"3,173",336,"2,837",1.8,17.4,"8,168","2,163","6,005",11.8,44.7,"-4,995",-27.3,34.8,163,163,"1,091"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"3,742","4,376","71,459","74,349",193,4.2,623,13.5,"13,042","1,400","11,642",1.9,17.5,"18,822","7,805","11,017",10.5,25.3,"-5,780",-7.8,35.0,384,387,"2,826"
