Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"8,413","9,586","72,270","36,948","9,379",195.7,0,0.0,"70,645","70,645",0,191.2,191.2,0,0,0,0.0,0.0,"70,645",191.2,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"28,496","34,523","532,260","552,435",0,0.0,"6,229",16.5,"76,780",0,"76,780",0.0,13.9,"117,132","45,073","72,059",8.2,21.2,"-40,352",-7.3,27.8,"4,333","4,358","29,117"
m. ALL,"36,909","44,109","604,530","589,383","9,379",22.0,"6,229",14.6,"147,425","70,645","76,780",12.0,25.0,"117,132","45,073","72,059",7.6,19.9,"30,293",5.1,39.8,"4,333","4,358","29,117"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"6,890","7,319","57,610","28,813","7,316",199.9,0,0.0,"57,594","57,594",0,199.9,199.9,0,0,0,0.0,0.0,"57,594",199.9,0.0,,,
b) 1,"5,540","6,594","69,594","70,735",0,0.0,"2,850",35.2,"21,468",0,"21,468",0.0,30.3,"23,749","15,539","8,210",22.0,33.6,"-2,281",-3.3,60.6,"1,748","1,769","8,276"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"23,472","29,102","530,527","530,510",425,1.3,"5,498",17.3,"83,644","2,354","81,290",0.4,15.8,"83,611","41,325","42,286",7.8,15.8,33,0.0,31.6,"3,143","3,163","20,032"
m. ALL,"35,902","43,015","657,731","630,058","7,741",17.8,"8,348",19.2,"162,706","59,948","102,758",9.5,25.8,"107,360","56,864","50,496",9.0,17.0,"55,346",8.8,34.0,"4,891","4,932","28,308"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"8,366","8,964","73,236","37,153","8,789",196.1,0,0.0,"72,167","72,167",0,194.2,194.2,0,0,0,0.0,0.0,"72,167",194.2,0.0,,,
b) 1,"6,023","6,421","65,864","61,699",0,0.0,891,13.0,"20,953",0,"20,953",0.0,34.0,"12,622","5,020","7,602",8.1,20.5,"8,331",13.5,41.0,39,39,539
c) 2,"4,994","5,936","70,332","69,996",147,2.3,815,13.0,"16,149",989,"15,160",1.4,23.1,"15,477","6,110","9,367",8.7,22.1,672,1.0,44.2,22,26,479
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"22,079","27,399","558,028","544,810",287,1.0,"2,178",7.7,"91,975","2,230","89,745",0.4,16.9,"65,540","20,038","45,502",3.7,12.0,"26,435",4.9,24.0,58,67,434
