Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,059","2,318","39,848","25,933","2,262",194.8,0,0.0,"27,830","27,830",0,107.3,107.3,0,0,0,0.0,0.0,"27,830",107.3,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"11,100","12,732","257,302","270,430",0,0.0,"1,856",13.5,"31,609",0,"31,609",0.0,11.7,"57,865","20,615","37,250",7.6,21.4,"-26,256",-9.7,23.4,"1,132","1,136","9,914"
m. ALL,"13,159","15,050","297,150","296,363","2,262",15.2,"1,856",12.5,"59,439","27,830","31,609",9.4,20.1,"57,865","20,615","37,250",7.0,19.5,"1,574",0.6,39.0,"1,132","1,136","9,914"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,679","1,759","15,572","7,808","1,745",198.4,0,0.0,"15,528","15,528",0,198.9,198.9,0,0,0,0.0,0.0,"15,528",198.9,0.0,,,
b) 1,"1,666","1,879","38,466","39,147",0,0.0,430,20.5,"5,889",0,"5,889",0.0,15.0,"7,251","3,906","3,345",10.0,18.5,"-1,362",-3.5,30.0,239,241,"1,679"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"10,134","11,623","263,581","260,416",213,1.7,"1,325",10.9,"41,188","1,231","39,957",0.5,15.8,"34,857","12,819","22,038",4.9,13.4,"6,331",2.4,26.8,883,897,"6,470"
m. ALL,"13,479","15,261","317,619","307,371","1,958",12.9,"1,755",11.6,"62,605","16,759","45,846",5.5,20.4,"42,108","16,725","25,383",5.4,13.7,"20,497",6.7,27.4,"1,122","1,138","8,149"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,607","1,698","14,213","7,107","1,697",199.9,0,0.0,"14,212","14,212",0,200.0,200.0,0,0,0,0.0,0.0,"14,212",200.0,0.0,,,
b) 1,"1,349","1,409","19,289","17,361",0,0.0,329,20.8,"7,247",0,"7,247",0.0,41.7,"3,391","1,669","1,722",9.6,19.5,"3,856",22.2,39.0,231,231,950
c) 2,"1,465","1,654","40,200","39,293",44,2.5,255,14.4,"7,132",255,"6,877",0.6,18.2,"5,317","1,869","3,448",4.8,13.5,"1,815",4.7,27.0,156,156,816
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"9,312","10,684","271,107","267,234",138,1.2,"1,022",9.2,"36,468",831,"35,637",0.3,13.6,"28,722","11,491","17,231",4.3,10.7,"7,746",2.9,21.4,666,667,"4,779"
