Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,775","2,017","14,604","7,474","1,954",193.8,0,0.0,"14,260","14,260",0,190.8,190.8,0,0,0,0.0,0.0,"14,260",190.8,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"8,258","9,446","208,518","213,369",0,0.0,"1,250",12.4,"20,559",0,"20,559",0.0,9.6,"30,261","9,058","21,203",4.2,14.2,"-9,702",-4.6,19.2,807,810,"5,417"
m. ALL,"10,033","11,463","223,122","220,843","1,954",17.6,"1,250",11.2,"34,819","14,260","20,559",6.5,15.8,"30,261","9,058","21,203",4.1,13.7,"4,558",2.1,27.4,807,810,"5,417"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,300","1,351","8,956","4,494","1,336",197.8,0,0.0,"8,924","8,924",0,198.6,198.6,0,0,0,0.0,0.0,"8,924",198.6,0.0,,,
b) 1,"1,250","1,473","13,135","13,858",0,0.0,537,30.8,"3,184",0,"3,184",0.0,23.0,"4,630","2,838","1,792",20.5,33.4,"-1,446",-10.4,46.0,405,405,"1,768"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"7,347","8,468","200,790","204,626",124,1.4,"1,096",12.2,"46,816",397,"46,419",0.2,22.9,"54,488","38,000","16,488",18.6,26.6,"-7,672",-3.7,45.8,826,827,"32,456"
m. ALL,"9,897","11,292","222,881","222,978","1,460",12.8,"1,633",14.4,"58,924","9,321","49,603",4.2,26.4,"59,118","40,838","18,280",18.3,26.5,-194,-0.1,52.8,"1,231","1,232","34,224"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,327","1,400","10,868","5,440","1,394",199.1,0,0.0,"10,856","10,856",0,199.6,199.6,0,0,0,0.0,0.0,"10,856",199.6,0.0,,,
b) 1,"1,029","1,075","8,945","8,915",0,0.0,257,21.2,"2,420",0,"2,420",0.0,27.1,"2,359","1,268","1,091",14.2,26.5,61,0.6,53.0,185,185,827
c) 2,"1,077","1,272","12,869","12,960",36,2.6,223,16.2,"2,550",128,"2,422",1.0,19.7,"2,732","1,245","1,487",9.6,21.1,-182,-1.4,39.4,143,150,684
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"6,775","7,822","171,915","186,154",120,1.5,724,8.9,"15,802",577,"15,225",0.3,8.5,"44,280","5,659","38,621",3.0,23.8,"-28,478",-15.3,17.0,481,485,"2,467"
