Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"15,359","17,946","149,353","75,972","17,573",195.8,0,0.0,"146,762","146,762",0,193.2,193.2,0,0,0,0.0,0.0,"146,762",193.2,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"64,125","77,964","1,343,302","1,376,247",0,0.0,"13,166",15.5,"173,163",0,"173,163",0.0,12.6,"239,052","97,339","141,713",7.1,17.4,"-65,889",-4.8,25.2,"8,878","8,912","56,649"
m. ALL,"79,484","95,910","1,492,655","1,452,219","17,573",18.7,"13,166",14.0,"319,925","146,762","173,163",10.1,22.0,"239,052","97,339","141,713",6.7,16.5,"80,873",5.5,33.0,"8,878","8,912","56,649"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"13,467","14,488","109,999","55,563","14,329",197.8,0,0.0,"108,873","108,873",0,195.9,195.9,0,0,0,0.0,0.0,"108,873",195.9,0.0,,,
b) 1,"11,411","13,687","142,266","145,626",0,0.0,"4,135",26.1,"35,133",0,"35,133",0.0,24.1,"41,853","20,289","21,564",13.9,28.7,"-6,720",-4.6,48.2,"2,944","2,954","11,743"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"57,839","70,717","1,362,492","1,352,629","1,222",1.6,"8,394",11.3,"195,783","6,517","189,266",0.5,14.5,"176,058","72,763","103,295",5.4,13.0,"19,725",1.5,26.0,"5,770","5,794","40,482"
m. ALL,"82,717","98,892","1,614,757","1,553,818","15,551",16.0,"12,529",12.9,"339,789","115,390","224,399",7.4,21.9,"217,911","93,052","124,859",6.0,14.0,"121,878",7.9,28.0,"8,714","8,748","52,225"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"12,682","14,070","114,943","57,615","13,969",198.6,0,0.0,"114,656","114,656",0,199.0,199.0,0,0,0,0.0,0.0,"114,656",199.0,0.0,,,
b) 1,"9,955","10,903","109,368","109,392",7,0.1,"3,367",26.5,"27,002",174,"26,828",0.2,24.7,"27,049","14,803","12,246",13.5,24.7,-47,0.0,49.4,"2,721","2,721","10,904"
c) 2,"9,609","11,662","140,946","141,435",367,2.9,"2,270",17.9,"28,300","2,149","26,151",1.5,20.0,"29,277","12,776","16,501",9.0,20.7,-977,-0.7,40.0,"1,589","1,591","7,540"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
