Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"9,084","10,353","69,062","34,999","10,152",196.1,0,0.0,"68,126","68,126",0,194.7,194.7,0,0,0,0.0,0.0,"68,126",194.7,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"46,239","53,682","768,588","774,020",0,0.0,"7,960",13.8,"100,961",0,"100,961",0.0,13.0,"111,824","50,723","61,101",6.6,14.4,"-10,863",-1.4,26.0,"5,274","5,295","31,820"
m. ALL,"55,323","64,035","837,650","809,019","10,152",16.1,"7,960",12.6,"169,087","68,126","100,961",8.4,20.9,"111,824","50,723","61,101",6.3,13.8,"57,263",7.1,27.6,"5,274","5,295","31,820"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"7,802","8,243","49,326","24,750","8,171",198.3,0,0.0,"49,153","49,153",0,198.6,198.6,0,0,0,0.0,0.0,"49,153",198.6,0.0,,,
b) 1,"7,147","8,311","69,382","69,166",0,0.0,"2,001",21.4,"15,618",0,"15,618",0.0,22.6,"15,186","8,356","6,830",12.1,22.0,432,0.6,44.0,"1,413","1,416","4,908"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"41,997","49,020","757,337","762,786",831,1.6,"5,426",10.6,"93,990","5,735","88,255",0.8,12.3,"104,888","33,334","71,554",4.4,13.8,"-10,898",-1.5,24.6,"3,929","3,948","20,560"
m. ALL,"56,946","65,574","876,045","856,702","9,002",13.9,"7,427",11.5,"158,761","54,888","103,873",6.4,18.5,"120,074","41,690","78,384",4.9,14.0,"38,687",4.5,28.0,"5,342","5,364","25,468"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"6,765","7,218","48,734","24,418","7,176",198.8,0,0.0,"48,633",D,D,D,199.2,0,0,0,0.0,0.0,"48,633",199.2,0.0,,,
b) 1,"6,010","6,361","46,157","47,559",2,0.0,"1,760",24.1,"10,754",D,D,D,22.6,"13,558","6,737","6,821",14.2,28.5,"-2,804",-5.9,45.2,"1,320","1,368","5,003"
c) 2,"6,097","7,145","63,780","66,432",190,2.5,"1,275",16.5,"10,309",651,"9,658",1.0,15.5,"15,613","7,347","8,266",11.1,23.5,"-5,304",-8.0,31.0,890,891,"4,319"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
