Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"3,429","3,804","25,082","12,903","3,729",196.1,0,0.0,"24,359","24,359",0,188.8,188.8,0,0,0,0.0,0.0,"24,359",188.8,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"12,871","14,984","234,028","218,506",0,0.0,"2,500",15.3,"67,753",0,"67,753",0.0,31.0,"36,709","15,378","21,331",7.0,16.8,"31,044",14.2,33.6,"1,738","1,749","9,788"
m. ALL,"16,300","18,788","259,110","231,409","3,729",20.5,"2,500",13.7,"92,112","24,359","67,753",10.5,39.8,"36,709","15,378","21,331",6.6,15.9,"55,403",23.9,31.8,"1,738","1,749","9,788"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,804","2,867","21,019","10,510","2,867",200.0,0,0.0,"21,019","21,019",0,200.0,200.0,0,0,0,0.0,0.0,"21,019",200.0,0.0,,,
b) 1,"2,309","2,603","22,753","23,833",0,0.0,"1,134",35.4,"6,153",0,"6,153",0.0,25.8,"8,312","5,822","2,490",24.4,34.9,"-2,159",-9.1,51.6,675,676,"2,714"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"10,819","12,858","186,108","209,590",195,1.4,"2,154",15.5,"28,002",721,"27,281",0.3,13.4,"74,966","14,947","60,019",7.1,35.8,"-46,964",-22.4,26.8,"1,238","1,245","7,282"
m. ALL,"15,932","18,328","229,880","243,933","3,062",16.5,"3,288",17.7,"55,174","21,740","33,434",8.9,22.6,"83,278","20,769","62,509",8.5,34.1,"-28,104",-11.5,45.2,"1,913","1,921","9,996"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"3,028","3,151","47,594","23,990","3,074",195.1,0,0.0,"47,209","47,209",0,196.8,196.8,0,0,0,0.0,0.0,"47,209",196.8,0.0,,,
b) 1,"2,360","2,417","20,877","21,279",0,0.0,449,17.0,"3,990",0,"3,990",0.0,18.8,"4,793","1,725","3,068",8.1,22.5,-803,-3.7,37.6,11,11,26
c) 2,"2,029","2,313","20,957","22,236",56,2.3,351,14.3,"3,296",332,"2,964",1.5,14.8,"5,854","1,927","3,927",8.7,26.3,"-2,558",-11.5,29.6,7,7,31
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"10,217","12,123","183,736","185,075",127,1.0,928,7.4,"24,398",961,"23,437",0.5,13.2,"27,076","8,142","18,934",4.4,14.6,"-2,678",-1.4,26.4,15,16,312
