Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"26,893","31,483","301,686","155,180","30,780",195.5,0,0.0,"293,012","293,012",0,188.8,188.8,0,0,0,0.0,0.0,"293,012",188.8,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"150,442","173,460","3,617,088","3,656,167",0,0.0,"25,528",13.7,"452,836",0,"452,836",0.0,12.4,"530,993","202,061","328,932",5.5,14.5,"-78,157",-2.1,24.8,"16,752","16,872","107,233"
m. ALL,"177,335","204,943","3,918,774","3,811,347","30,780",15.2,"25,528",12.6,"745,848","293,012","452,836",7.7,19.6,"530,993","202,061","328,932",5.3,13.9,"214,855",5.7,27.8,"16,752","16,872","107,233"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"23,206","24,940","202,251","101,740","24,666",197.8,0,0.0,"201,023","201,023",0,197.6,197.6,0,0,0,0.0,0.0,"201,023",197.6,0.0,,,
b) 1,"21,083","25,198","286,585","293,789",0,0.0,"6,119",21.6,"59,045",0,"59,045",0.0,20.1,"73,452","35,051","38,401",11.9,25.0,"-14,407",-4.9,40.2,"4,125","4,145","18,150"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"137,188","158,346","3,588,888","3,602,229","2,795",1.7,"17,876",10.8,"452,978","19,199","433,779",0.5,12.6,"479,660","166,395","313,265",4.6,13.3,"-26,682",-0.7,25.2,"12,272","12,384","80,369"
m. ALL,"181,477","208,484","4,077,724","3,997,758","27,461",13.3,"23,995",11.6,"713,046","220,222","492,824",5.5,17.8,"553,112","201,446","351,666",5.0,13.8,"159,934",4.0,27.6,"16,397","16,529","98,519"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"21,546","23,562","210,228","105,341","23,433",198.9,0,0.0,"209,775","209,775",0,199.1,199.1,0,0,0,0.0,0.0,"209,775",199.1,0.0,,,
b) 1,"18,198","19,722","198,382","199,579",8,0.0,"4,808",21.5,"45,393",381,"45,012",0.2,22.7,"47,786","22,308","25,478",11.2,23.9,"-2,393",-1.2,45.4,"3,597","3,598","14,161"
c) 2,"18,073","21,723","269,263","277,504",635,2.7,"3,872",16.5,"45,869","3,443","42,426",1.2,16.5,"62,350","28,977","33,373",10.4,22.5,"-16,481",-6.0,33.0,"2,425","2,426","12,237"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
