Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"12,665","14,755","124,463","63,455","14,425",195.5,0,0.0,"122,017","122,017",0,192.3,192.3,0,0,0,0.0,0.0,"122,017",192.3,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"67,265","80,429","1,583,991","1,605,970",0,0.0,"11,453",13.3,"176,756",0,"176,756",0.0,11.0,"220,714","81,201","139,513",5.1,13.7,"-43,958",-2.7,22.0,"7,442","7,503","50,334"
m. ALL,"79,930","95,184","1,708,454","1,669,425","14,425",15.4,"11,453",12.2,"298,773","122,017","176,756",7.3,17.9,"220,714","81,201","139,513",4.9,13.2,"78,059",4.7,26.4,"7,442","7,503","50,334"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"11,248","11,932","82,959","41,598","11,834",198.4,0,0.0,"82,723","82,723",0,198.9,198.9,0,0,0,0.0,0.0,"82,723",198.9,0.0,,,
b) 1,"9,772","11,619","121,623","122,942",0,0.0,"3,056",23.2,"26,659",0,"26,659",0.0,21.7,"29,297","16,257","13,040",13.2,23.8,"-2,638",-2.1,43.4,"2,046","2,051","9,108"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"61,514","73,927","1,624,765","1,604,152","1,253",1.6,"7,673",9.9,"218,752","7,332","211,420",0.5,13.6,"177,526","61,244","116,282",3.8,11.1,"41,226",2.5,22.2,"5,278","5,310","31,802"
m. ALL,"82,534","97,478","1,829,347","1,768,692","13,087",13.6,"10,729",11.1,"328,134","90,055","238,079",5.1,18.6,"206,823","77,501","129,322",4.4,11.7,"121,311",6.9,23.4,"7,324","7,361","40,910"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,590","11,412","87,063","43,598","11,346",198.8,0,0.0,"86,931","86,931",0,199.4,199.4,0,0,0,0.0,0.0,"86,931",199.4,0.0,,,
b) 1,"8,695","9,323","86,111","84,223",6,0.1,"2,430",22.9,"23,643",93,"23,550",0.1,28.1,"19,866","9,567","10,299",11.4,23.6,"3,777",4.5,47.2,"1,895","1,904","6,884"
c) 2,"8,425","10,118","117,428","119,340",307,2.8,"1,710",15.7,"20,784","1,864","18,920",1.6,17.4,"24,607","11,027","13,580",9.2,20.6,"-3,823",-3.2,34.8,"1,175","1,182","6,374"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
