Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"8,732","9,923","74,574","37,721","9,714",195.8,0,0.0,"73,707","73,707",0,195.4,195.4,0,0,0,0.0,0.0,"73,707",195.4,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"42,004","48,654","843,381","848,720",0,0.0,"7,697",14.6,"120,030",0,"120,030",0.0,14.1,"130,708","52,001","78,707",6.1,15.4,"-10,678",-1.3,28.2,"5,217","5,229","31,095"
m. ALL,"50,736","58,577","917,955","886,441","9,714",16.8,"7,697",13.3,"193,737","73,707","120,030",8.3,21.9,"130,708","52,001","78,707",5.9,14.7,"63,029",7.2,29.4,"5,217","5,229","31,095"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"7,710","8,247","55,278","27,725","8,175",198.3,0,0.0,"55,107","55,107",0,198.8,198.8,0,0,0,0.0,0.0,"55,107",198.8,0.0,,,
b) 1,"6,531","7,577","71,386","72,913",0,0.0,"2,291",26.2,"16,594",0,"16,594",0.0,22.8,"19,648","11,966","7,682",16.4,26.9,"-3,054",-4.1,45.6,"1,618","1,618","6,400"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"38,119","44,371","831,632","837,324",913,2.0,"5,117",11.0,"112,768","5,450","107,318",0.7,13.5,"124,152","48,145","76,007",5.7,14.8,"-11,384",-1.3,27.0,"3,616","3,627","18,656"
m. ALL,"52,360","60,195","958,296","937,962","9,088",15.3,"7,408",12.5,"184,469","60,557","123,912",6.5,19.7,"143,800","60,111","83,689",6.4,15.3,"40,669",4.4,30.6,"5,234","5,245","25,056"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"7,226","7,749","61,829","30,946","7,720",199.3,0,0.0,"61,767","61,767",0,199.6,199.6,0,0,0,0.0,0.0,"61,767",199.6,0.0,,,
b) 1,"5,812","6,281","53,247","53,974",4,0.1,"1,836",25.3,"14,102",57,"14,045",0.1,26.1,"15,556","7,688","7,868",14.2,28.8,"-1,454",-2.7,52.2,"1,468","1,468","5,538"
c) 2,"5,558","6,500","68,177","69,671",202,2.9,"1,205",17.1,"12,816",951,"11,865",1.4,18.4,"15,803","8,075","7,728",11.6,22.7,"-2,987",-4.3,36.8,822,822,"3,948"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
