Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"12,939","15,078","159,689","81,442","14,690",194.9,0,0.0,"156,494","156,494",0,192.2,192.2,0,0,0,0.0,0.0,"156,494",192.2,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"81,672","93,640","1,791,085","1,800,597",0,0.0,"12,040",12.0,"232,802",0,"232,802",0.0,12.9,"251,825","104,360","147,465",5.8,14.0,"-19,023",-1.1,25.8,"7,822","7,851","55,401"
m. ALL,"94,611","108,718","1,950,774","1,882,039","14,690",13.7,"12,040",11.2,"389,296","156,494","232,802",8.3,20.7,"251,825","104,360","147,465",5.5,13.4,"137,471",7.3,26.8,"7,822","7,851","55,401"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"11,239","12,031","105,911","53,170","11,888",197.6,0,0.0,"105,482","105,482",0,198.4,198.4,0,0,0,0.0,0.0,"105,482",198.4,0.0,,,
b) 1,"10,265","12,178","163,876","161,700",0,0.0,"2,811",20.6,"38,402",0,"38,402",0.0,23.7,"34,050","20,215","13,835",12.5,21.1,"4,352",2.6,42.2,"1,822","1,826","9,970"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"75,354","86,302","1,826,923","1,808,680","1,335",1.5,"8,638",9.6,"255,515","10,240","245,275",0.6,14.1,"219,029","90,517","128,512",5.0,12.1,"36,486",2.0,24.2,"5,800","5,846","38,537"
m. ALL,"96,858","110,511","2,096,710","2,023,550","13,223",12.1,"11,449",10.4,"399,399","115,722","283,677",5.7,19.7,"253,079","110,732","142,347",5.5,12.5,"146,320",7.2,25.0,"7,622","7,672","48,507"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,864","11,834","102,723","51,455","11,773",199.0,0,0.0,"102,536","102,536",0,199.3,199.3,0,0,0,0.0,0.0,"102,536",199.3,0.0,,,
b) 1,"8,980","9,671","114,995","110,139",4,0.0,"2,172",20.0,"32,805",35,"32,770",0.0,29.8,"23,092","10,698","12,394",9.7,21.0,"9,713",8.8,42.0,"1,606","1,607","6,321"
c) 2,"8,920","10,595","157,535","160,572",312,2.7,"1,800",15.8,"31,174","2,790","28,384",1.7,19.4,"37,247","15,788","21,459",9.8,23.2,"-6,073",-3.8,38.8,"1,141","1,143","8,910"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
