Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"9,764","11,224","88,750","45,060","11,007",196.1,0,0.0,"87,380","87,380",0,193.9,193.9,0,0,0,0.0,0.0,"87,380",193.9,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"48,533","57,439","1,037,470","1,067,433",0,0.0,"8,104",13.1,"135,326",0,"135,326",0.0,12.7,"195,252","65,771","129,481",6.2,18.3,"-59,926",-5.6,25.4,"5,204","5,225","33,912"
m. ALL,"58,297","68,663","1,126,220","1,112,493","11,007",16.4,"8,104",12.0,"222,706","87,380","135,326",7.9,20.0,"195,252","65,771","129,481",5.9,17.6,"27,454",2.4,35.2,"5,204","5,225","33,912"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"8,164","8,768","64,183","32,176","8,683",198.1,0,0.0,"64,014","64,014",0,198.9,198.9,0,0,0,0.0,0.0,"64,014",198.9,0.0,,,
b) 1,"7,633","8,911","90,532","89,586",0,0.0,"2,270",22.5,"24,374",0,"24,374",0.0,27.2,"22,482","12,333","10,149",13.8,25.1,"1,892",2.1,50.2,"1,504","1,508","6,095"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"44,422","52,731","1,020,204","1,028,412",924,1.7,"5,603",10.2,"132,964","5,194","127,770",0.5,12.9,"149,380","50,655","98,725",4.9,14.5,"-16,416",-1.6,25.8,"3,721","3,736","23,177"
m. ALL,"60,219","70,410","1,174,919","1,150,174","9,607",13.8,"7,873",11.3,"221,352","69,208","152,144",6.0,19.2,"171,862","62,988","108,874",5.5,14.9,"49,490",4.3,29.8,"5,225","5,244","29,272"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"8,021","8,728","66,565","33,398","8,688",199.1,0,0.0,"66,334",D,D,D,198.6,0,0,0,0.0,0.0,"66,334",198.6,0.0,,,
b) 1,"6,284","6,791","67,549","65,662",3,0.0,"1,821",23.4,"20,168",D,D,D,30.7,"16,393","8,439","7,954",12.9,25.0,"3,775",5.7,50.0,"1,342","1,344","5,200"
c) 2,"6,567","7,717","87,042","88,687",245,2.9,"1,379",16.6,"17,164",935,"16,229",1.1,19.4,"20,453","9,010","11,443",10.2,23.1,"-3,289",-3.7,38.8,883,884,"4,338"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
