Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"3,173","3,509","27,735","14,221","3,442",196.2,0,0.0,"27,029","27,029",0,190.1,190.1,0,0,0,0.0,0.0,"27,029",190.1,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"15,929","18,165","264,828","269,666",0,0.0,"2,749",14.1,"32,860",0,"32,860",0.0,12.2,"42,536","16,956","25,580",6.3,15.8,"-9,676",-3.6,24.4,"1,756","1,762","9,457"
m. ALL,"19,102","21,674","292,563","283,887","3,442",16.2,"2,749",12.9,"59,889","27,029","32,860",9.5,21.1,"42,536","16,956","25,580",6.0,15.0,"17,353",6.1,30.0,"1,756","1,762","9,457"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,997","3,104","17,349","8,698","3,086",198.8,0,0.0,"17,302","17,302",0,198.9,198.9,0,0,0,0.0,0.0,"17,302",198.9,0.0,,,
b) 1,"2,476","2,782","25,547","26,628",0,0.0,707,22.5,"4,671",0,"4,671",0.0,17.5,"6,832","2,828","4,004",10.6,25.7,"-2,161",-8.2,35.0,484,484,"1,719"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"14,481","16,615","266,497","261,816",330,1.9,"1,824",10.5,"40,194","1,790","38,404",0.7,15.4,"30,832","11,633","19,199",4.4,11.8,"9,362",3.6,23.6,"1,324","1,328","6,610"
m. ALL,"19,954","22,501","309,393","297,142","3,416",15.5,"2,531",11.5,"62,167","19,092","43,075",6.4,20.9,"37,664","14,461","23,203",4.9,12.7,"24,503",8.2,25.4,"1,808","1,812","8,329"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,668","2,792","17,217","8,621","2,780",199.1,0,0.0,"17,193",D,D,D,199.4,0,0,0,0.0,0.0,"17,193",199.4,0.0,,,
b) 1,"2,305","2,405","17,691","17,474",2,0.1,649,23.6,"4,677",D,D,D,26.8,"4,242","2,073","2,169",11.9,24.3,435,2.5,48.6,491,491,"1,569"
c) 2,"2,111","2,373","24,720","25,090",59,2.3,431,16.7,"3,529",250,"3,279",1.0,14.1,"4,269","1,995","2,274",8.0,17.0,-740,-2.9,28.2,278,278,998
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"13,240","15,233","257,294","261,741",211,1.3,"1,511",9.5,"28,181","1,926","26,255",0.7,10.8,"37,075","11,039","26,036",4.2,14.2,"-8,894",-3.4,21.6,"1,076","1,081","6,013"
