Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"19,988","23,691","207,396","108,052","23,171",195.6,0,0.0,"198,688","198,688",0,183.9,183.9,0,0,0,0.0,0.0,"198,688",183.9,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"104,287","123,343","2,510,472","2,512,472",0,0.0,"18,175",13.7,"333,930",0,"333,930",0.0,13.3,"337,929","129,485","208,444",5.2,13.5,"-3,999",-0.2,26.6,"11,447","11,520","71,244"
m. ALL,"124,275","147,034","2,717,868","2,620,524","23,171",16.0,"18,175",12.6,"532,618","198,688","333,930",7.6,20.3,"337,929","129,485","208,444",4.9,12.9,"194,689",7.4,25.8,"11,447","11,520","71,244"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"17,745","19,013","154,488","77,493","18,839",198.2,0,0.0,"153,991","153,991",0,198.7,198.7,0,0,0,0.0,0.0,"153,991",198.7,0.0,,,
b) 1,"15,672","18,951","210,040","208,417",0,0.0,"4,597",21.6,"49,171",0,"49,171",0.0,23.6,"45,924","25,521","20,403",12.2,22.0,"3,247",1.6,44.0,"2,957","2,971","13,457"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"94,900","112,664","2,522,694","2,507,721","2,259",1.9,"12,841",10.9,"317,798","13,969","303,829",0.6,12.7,"287,852","113,506","174,346",4.5,11.5,"29,946",1.2,23.0,"8,629","8,666","55,707"
m. ALL,"128,317","150,628","2,887,222","2,793,631","21,098",14.2,"17,438",11.7,"520,960","167,960","353,000",6.0,18.6,"333,776","139,027","194,749",5.0,11.9,"187,184",6.7,23.8,"11,586","11,637","69,164"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"16,505","17,831","169,124","96,842","17,730",198.9,0,0.0,"144,564","144,564",0,149.3,149.3,0,0,0,0.0,0.0,"144,564",149.3,0.0,,,
b) 1,"13,970","15,100","160,477","156,669",6,0.0,"3,616",21.2,"40,523",219,"40,304",0.1,25.9,"32,906","16,336","16,570",10.4,21.0,"7,617",4.9,42.0,"2,675","2,675","11,251"
c) 2,"13,685","16,678","207,061","208,240",559,3.1,"2,682",15.1,"36,047","2,642","33,405",1.3,17.3,"38,405","16,598","21,807",8.0,18.4,"-2,358",-1.1,34.6,"1,727","1,734","8,053"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
