Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,835","12,494","110,567","56,268","12,236",195.9,0,0.0,"108,598","108,598",0,193.0,193.0,0,0,0,0.0,0.0,"108,598",193.0,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"55,440","64,470","1,172,146","1,174,558",0,0.0,"8,976",13.0,"173,858",0,"173,858",0.0,14.8,"178,682","73,196","105,486",6.2,15.2,"-4,824",-0.4,29.6,"5,779","5,833","43,594"
m. ALL,"66,275","76,964","1,282,713","1,230,826","12,236",16.2,"8,976",11.9,"282,456","108,598","173,858",8.8,22.9,"178,682","73,196","105,486",5.9,14.5,"103,774",8.4,29.0,"5,779","5,833","43,594"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"9,717","10,291","76,871","38,599","10,200",198.2,0,0.0,"76,545","76,545",0,198.3,198.3,0,0,0,0.0,0.0,"76,545",198.3,0.0,,,
b) 1,"8,657","10,129","112,846","111,605",0,0.0,"2,303",20.4,"28,874",0,"28,874",0.0,25.9,"26,391","14,169","12,222",12.7,23.6,"2,483",2.3,47.2,"1,512","1,520","6,884"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"50,723","59,135","1,183,295","1,177,593",906,1.5,"6,192",10.0,"180,172","7,242","172,930",0.6,15.3,"168,767","53,527","115,240",4.5,14.3,"11,405",1.0,28.6,"4,362","4,382","27,438"
m. ALL,"69,097","79,555","1,373,012","1,327,797","11,106",14.2,"8,495",10.9,"285,591","83,787","201,804",6.3,21.5,"195,158","67,696","127,462",5.1,14.7,"90,433",6.8,29.4,"5,874","5,902","34,322"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"9,324","9,993","86,962","44,204","9,930",198.7,0,0.0,"85,516",D,D,D,193.5,0,0,0,0.0,0.0,"85,516",193.5,0.0,,,
b) 1,"7,778","8,262","79,514","78,126",1,0.0,"1,849",20.0,"20,096",D,D,D,25.7,"17,322","8,026","9,296",10.3,22.2,"2,774",3.5,44.4,"1,332","1,333","5,678"
c) 2,"7,462","8,800","108,500","110,421",211,2.2,"1,462",15.4,"19,874","1,296","18,578",1.2,18.0,"23,715","9,880","13,835",8.9,21.5,"-3,841",-3.5,36.0,992,995,"4,774"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
