Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"6,253","7,065","49,353","25,291","6,881",194.8,0,0.0,"48,125","48,125",0,190.3,190.3,0,0,0,0.0,0.0,"48,125",190.3,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"28,839","33,635","531,560","534,754",0,0.0,"5,252",14.4,"74,643",0,"74,643",0.0,14.0,"81,031","34,706","46,325",6.5,15.2,"-6,388",-1.2,28.0,"3,729","3,755","22,470"
m. ALL,"35,092","40,700","580,913","560,045","6,881",17.2,"5,252",13.1,"122,768","48,125","74,643",8.6,21.9,"81,031","34,706","46,325",6.2,14.5,"41,737",7.4,29.0,"3,729","3,755","22,470"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"5,412","5,773","40,432","20,292","5,698",197.4,0,0.0,"40,280","40,280",0,198.5,198.5,0,0,0,0.0,0.0,"40,280",198.5,0.0,,,
b) 1,"4,579","5,321","49,250","49,236",0,0.0,"1,687",27.2,"12,325",0,"12,325",0.0,25.0,"12,296","7,122","5,174",14.5,25.0,29,0.0,50.0,"1,165","1,167","4,222"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"25,656","30,099","517,652","524,632",478,1.5,"4,007",12.6,"67,270","2,515","64,755",0.5,12.8,"81,229","26,858","54,371",5.1,15.5,"-13,959",-2.7,25.6,"2,636","2,644","13,761"
m. ALL,"35,647","41,193","607,334","594,160","6,176",15.1,"5,694",13.9,"119,875","42,795","77,080",7.2,20.2,"93,525","33,980","59,545",5.7,15.7,"26,350",4.5,31.4,"3,801","3,811","17,983"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"5,459","5,760","39,779","19,939","5,709",198.2,0,0.0,"39,680",D,D,D,199.0,0,0,0,0.0,0.0,"39,680",199.0,0.0,,,
b) 1,"4,041","4,370","37,921","39,018",1,0.0,"1,298",25.6,"9,090",D,D,D,23.3,"11,283","5,892","5,391",15.1,28.9,"-2,193",-5.6,46.6,"1,048","1,048","4,366"
c) 2,"3,955","4,657","47,293","48,135",230,4.6,824,16.5,"9,330","1,147","8,183",2.4,19.4,"11,014","5,041","5,973",10.5,22.9,"-1,684",-3.5,38.8,583,583,"3,052"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
