Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"3,443","3,743","23,412","11,907","3,670",196.1,0,0.0,"23,011","23,011",0,193.3,193.3,0,0,0,0.0,0.0,"23,011",193.3,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"13,349","15,181","167,598","166,686",0,0.0,"2,397",14.6,"30,799",0,"30,799",0.0,18.5,"28,975","13,322","15,653",8.0,17.4,"1,824",1.1,34.8,"1,670","1,675","9,899"
m. ALL,"16,792","18,924","191,010","178,593","3,670",20.0,"2,397",13.1,"53,810","23,011","30,799",12.9,30.1,"28,975","13,322","15,653",7.5,16.2,"24,835",13.9,32.4,"1,670","1,675","9,899"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,596","2,669","15,587","7,798","2,666",199.8,0,0.0,"15,578","15,578",0,199.8,199.8,0,0,0,0.0,0.0,"15,578",199.8,0.0,,,
b) 1,"2,326","2,602","21,460","22,281",0,0.0,"1,065",33.6,"5,008",0,"5,008",0.0,22.5,"6,650","4,452","2,198",20.0,29.8,"-1,642",-7.3,45.0,638,638,"2,579"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"11,271","13,054","159,877","163,358",225,1.6,"2,202",15.6,"26,178",489,"25,689",0.3,16.0,"33,140","15,172","17,968",9.3,20.3,"-6,962",-4.3,32.0,"1,278","1,282","7,181"
m. ALL,"16,193","18,325","196,924","193,437","2,891",15.5,"3,267",17.5,"46,764","16,067","30,697",8.3,24.2,"39,790","19,624","20,166",10.1,20.6,"6,974",3.6,41.2,"1,916","1,920","9,760"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"3,063","3,186","18,713","9,470","3,112",195.4,0,0.0,"18,487","18,487",0,195.2,195.2,0,0,0,0.0,0.0,"18,487",195.2,0.0,,,
b) 1,"2,226","2,292","15,442","15,514",0,0.0,376,15.2,"3,857",0,"3,857",0.0,24.9,"4,001","1,535","2,466",9.9,25.8,-144,-0.9,49.8,2,2,D
c) 2,"2,096","2,340","20,668","21,067",73,3.0,335,13.6,"3,607",230,"3,377",1.1,17.1,"4,405","1,578","2,827",7.5,20.9,-798,-3.8,34.2,5,5,D
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"10,629","12,271","173,473","166,892",127,1.0,978,7.7,"32,381",595,"31,786",0.4,19.4,"19,218","5,643","13,575",3.4,11.5,"13,163",7.9,23.0,14,14,186
