Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,310","2,474","14,397","7,279","2,434",196.8,0,0.0,"14,236","14,236",0,195.6,195.6,0,0,0,0.0,0.0,"14,236",195.6,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"10,996","12,440","134,779","139,277",0,0.0,"1,871",13.9,"15,316",0,"15,316",0.0,11.0,"24,311","10,832","13,479",7.8,17.5,"-8,995",-6.5,22.0,"1,170","1,175","7,566"
m. ALL,"13,306","14,914","149,176","146,556","2,434",16.6,"1,871",12.8,"29,552","14,236","15,316",9.7,20.2,"24,311","10,832","13,479",7.4,16.6,"5,241",3.6,33.2,"1,170","1,175","7,566"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,961","2,010","10,245","5,135","1,994",198.4,0,0.0,"10,220","10,220",0,199.0,199.0,0,0,0,0.0,0.0,"10,220",199.0,0.0,,,
b) 1,"1,770","1,920","14,436","14,403",0,0.0,536,24.4,"3,528",0,"3,528",0.0,24.5,"3,462","2,285","1,177",15.9,24.0,66,0.5,48.0,364,364,"1,385"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"10,073","11,444","138,096","136,401",203,1.7,"1,173",9.8,"19,361",964,"18,397",0.7,14.2,"15,971","5,839","10,132",4.3,11.7,"3,390",2.5,23.4,825,829,"3,942"
m. ALL,"13,804","15,374","162,777","155,939","2,197",14.5,"1,709",11.3,"33,109","11,184","21,925",7.2,21.2,"19,433","8,124","11,309",5.2,12.5,"13,676",8.7,25.0,"1,189","1,193","5,327"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,997","2,076","13,528","6,796","2,068",199.2,0,0.0,"13,465","13,465",0,198.1,198.1,0,0,0,0.0,0.0,"13,465",198.1,0.0,,,
b) 1,"1,488","1,525","9,524","9,793",0,0.0,433,24.5,"2,220",0,"2,220",0.0,22.7,"2,758","1,394","1,364",14.2,28.2,-538,-5.5,45.4,321,321,"1,083"
c) 2,"1,526","1,665","13,038","13,717",57,3.2,298,16.6,"2,278",257,"2,021",1.9,16.6,"3,636","1,721","1,915",12.5,26.5,"-1,358",-9.9,33.2,202,202,885
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"9,259","10,510","141,402","139,629",133,1.2,"1,000",9.1,"21,102",629,"20,473",0.5,15.1,"17,556","6,308","11,248",4.5,12.6,"3,546",2.5,25.2,724,725,"4,625"
