Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"3,016","3,268","20,440","10,367","3,204",196.1,0,0.0,"20,146","20,146",0,194.3,194.3,0,0,0,0.0,0.0,"20,146",194.3,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"13,674","15,184","241,749","243,470",0,0.0,"2,063",12.7,"31,057",0,"31,057",0.0,12.8,"34,499","14,599","19,900",6.0,14.2,"-3,442",-1.4,25.6,"1,401","1,408","8,624"
m. ALL,"16,690","18,452","262,189","253,837","3,204",17.9,"2,063",11.5,"51,203","20,146","31,057",7.9,20.2,"34,499","14,599","19,900",5.8,13.6,"16,704",6.6,27.2,"1,401","1,408","8,624"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,838","2,943","23,938","11,993","2,919",198.4,0,0.0,"23,890","23,890",0,199.2,199.2,0,0,0,0.0,0.0,"23,890",199.2,0.0,,,
b) 1,"2,318","2,548","21,025","20,695",0,0.0,702,24.1,"5,321",0,"5,321",0.0,25.7,"4,661","2,952","1,709",14.3,22.5,660,3.2,45.0,509,513,"2,012"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"12,537","13,946","250,691","246,118",222,1.5,"1,440",9.9,"36,475","1,583","34,892",0.6,14.8,"27,328","10,212","17,116",4.1,11.1,"9,147",3.7,22.2,"1,020","1,021","5,202"
m. ALL,"17,693","19,437","295,654","278,806","3,141",16.6,"2,142",11.3,"65,686","25,473","40,213",9.1,23.6,"31,989","13,164","18,825",4.7,11.5,"33,697",12.1,23.0,"1,529","1,534","7,214"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,566","2,688","17,830","8,926","2,676",199.1,0,0.0,"17,809","17,809",0,199.5,199.5,0,0,0,0.0,0.0,"17,809",199.5,0.0,,,
b) 1,"2,182","2,270","26,607","25,207",0,0.0,621,23.8,"7,251",0,"7,251",0.0,28.8,"4,450","2,291","2,159",9.1,17.7,"2,801",11.1,35.4,458,459,"1,543"
c) 2,"2,019","2,234","21,721","21,356",67,2.8,356,14.9,"4,839",293,"4,546",1.4,22.7,"4,108","2,129","1,979",10.0,19.2,731,3.5,38.4,252,252,"1,107"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"11,544","12,866","254,688","252,537",197,1.5,"1,220",9.1,"33,643","1,406","32,237",0.6,13.3,"29,340","9,596","19,744",3.8,11.6,"4,303",1.7,23.2,868,873,"4,801"
