Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"19,080","21,222","186,197","97,082","20,676",194.8,0,0.0,"178,231","178,231",0,183.6,183.6,0,0,0,0.0,0.0,"178,231",183.6,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"106,708","120,410","2,114,994","2,162,903",0,0.0,"17,343",13.4,"250,935",0,"250,935",0.0,11.6,"346,754","131,638","215,116",6.1,16.0,"-95,819",-4.4,23.2,"11,019","11,062","64,379"
m. ALL,"125,788","141,632","2,301,191","2,259,985","20,676",14.8,"17,343",12.4,"429,166","178,231","250,935",7.9,19.0,"346,754","131,638","215,116",5.8,15.3,"82,412",3.7,30.6,"11,019","11,062","64,379"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"16,053","17,016","127,872","64,523","16,802",197.5,0,0.0,"126,699","126,699",0,196.4,196.4,0,0,0,0.0,0.0,"126,699",196.4,0.0,,,
b) 1,"14,801","16,706","183,721","183,965",0,0.0,"4,376",23.1,"44,370",0,"44,370",0.0,24.1,"44,858","24,721","20,137",13.4,24.4,-488,-0.3,48.2,"2,852","2,856","11,260"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"98,121","110,731","2,090,320","2,100,533","2,250",1.9,"11,906",10.3,"274,094","10,847","263,247",0.5,13.0,"294,521","115,177","179,344",5.5,14.0,"-20,427",-1.0,26.0,"7,930","7,961","47,144"
m. ALL,"128,975","144,453","2,401,913","2,349,021","19,052",13.3,"16,282",11.4,"445,163","137,546","307,617",5.9,19.0,"339,379","139,898","199,481",6.0,14.4,"105,784",4.6,28.8,"10,782","10,817","58,404"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"16,201","17,255","131,514","65,907","17,158",198.9,0,0.0,"131,215","131,215",0,199.1,199.1,0,0,0,0.0,0.0,"131,215",199.1,0.0,,,
b) 1,"12,616","13,465","129,195","128,073",5,0.0,"3,251",21.3,"33,297",372,"32,925",0.3,26.0,"31,052","14,562","16,490",11.4,24.2,"2,245",1.8,48.4,"2,325","2,326","8,344"
c) 2,"13,003","14,721","176,834","180,045",567,3.6,"2,371",15.1,"32,175","2,606","29,569",1.4,17.9,"38,597","15,676","22,921",8.7,21.4,"-6,422",-3.5,35.8,"1,602","1,606","7,961"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
