Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"43,903","49,325","417,635","216,549","48,067",194.9,0,0.0,"402,172","402,172",0,185.7,185.7,0,0,0,0.0,0.0,"402,172",185.7,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"270,598","303,980","5,120,775","5,220,348",0,0.0,"44,902",13.7,"642,649",0,"642,649",0.0,12.3,"841,794","323,829","517,965",6.2,16.1,"-199,145",-3.8,24.6,"31,297","31,405","181,850"
m. ALL,"314,501","353,305","5,538,410","5,436,897","48,067",13.7,"44,902",12.8,"1,044,821","402,172","642,649",7.4,19.2,"841,794","323,829","517,965",6.0,15.5,"203,027",3.7,31.0,"31,297","31,405","181,850"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"37,639","39,647","321,150","175,560","39,205",197.8,0,0.0,"291,180","291,180",0,165.9,165.9,0,0,0,0.0,0.0,"291,180",165.9,0.0,,,
b) 1,"33,804","38,537","387,875","402,134",0,0.0,"10,483",23.9,"97,599",0,"97,599",0.0,24.3,"126,117","56,687","69,430",14.1,31.4,"-28,518",-7.1,48.6,"7,228","7,235","28,731"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"245,117","275,582","5,061,385","5,086,750","4,528",1.6,"32,897",11.4,"715,053","24,575","690,478",0.5,14.1,"765,782","297,044","468,738",5.8,15.1,"-50,729",-1.0,28.2,"23,619","23,701","143,350"
m. ALL,"316,560","353,766","5,770,410","5,664,444","43,733",12.4,"43,380",12.3,"1,103,832","315,755","788,077",5.6,19.5,"891,899","353,731","538,168",6.2,15.7,"211,933",3.8,31.4,"30,847","30,936","172,081"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"35,799","38,081","272,653","136,928","37,881",198.9,0,0.0,"271,450","271,450",0,198.2,198.2,0,0,0,0.0,0.0,"271,450",198.2,0.0,,,
b) 1,"29,752","31,528","312,382","315,686",11,0.0,"7,518",21.1,"69,489",828,"68,661",0.3,22.0,"76,096","31,755","44,341",10.1,24.1,"-6,607",-2.1,44.0,"5,719","5,720","20,293"
c) 2,"29,097","33,368","367,334","377,065","1,069",3.0,"5,902",16.4,"74,615","7,070","67,545",1.9,19.8,"94,076","36,840","57,236",9.8,24.9,"-19,461",-5.1,39.6,"4,152","4,162","20,391"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
